"",BBK01.OEAH17N,BBK01.OEAH17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:17,
2002-01,120.525,
2002-04,119.618,
2002-07,120.127,
2002-10,123.102,
2003-01,123.878,
2003-04,123.665,
2003-07,120.333,
2003-10,117.088,
2004-01,113.593,
2004-04,118.292,
2004-07,120.010,
2004-10,110.312,
2005-01,113.175,
2005-04,117.324,
2005-07,118.158,
2005-10,124.865,
2006-01,126.556,
2006-04,136.131,
2006-07,143.439,
2006-10,151.625,
2007-01,155.689,
2007-04,162.364,
2007-07,171.538,
2007-10,185.330,
2008-01,187.102,
2008-04,192.692,
2008-07,197.275,
2008-10,208.217,
2009-01,196.004,
2009-04,188.562,
2009-07,184.234,
2009-10,174.619,
2010-01,171.295,
2010-04,173.279,
2010-07,170.926,
2010-10,176.719,
2011-01,172.354,
2011-04,177.695,
2011-07,186.261,
2011-10,186.919,
2012-01,188.528,
2012-04,203.225,
2012-07,197.506,
2012-10,158.274,
2013-01,157.065,
2013-04,153.044,
2013-07,142.856,
2013-10,141.222,
2014-01,137.145,
2014-04,134.715,
2014-07,135.015,
