"",BBK01.OEAF01G,BBK01.OEAF01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:41,
2002-01,176.826,
2002-04,178.827,
2002-07,180.317,
2002-10,181.621,
2003-01,181.257,
2003-04,182.109,
2003-07,183.805,
2003-10,185.181,
2004-01,184.500,
2004-04,184.828,
2004-07,185.837,
2004-10,186.087,
2005-01,187.086,
2005-04,187.626,
2005-07,188.673,
2005-10,189.068,
2006-01,186.789,
2006-04,186.991,
2006-07,187.709,
2006-10,186.937,
2007-01,185.754,
2007-04,185.606,
2007-07,185.909,
2007-10,185.748,
2008-01,184.908,
2008-04,185.818,
2008-07,186.396,
2008-10,187.127,
2009-01,186.700,
2009-04,189.270,
2009-07,190.675,
2009-10,191.056,
2010-01,191.024,
2010-04,192.036,
2010-07,193.438,
2010-10,193.259,
2011-01,194.733,
2011-04,195.969,
2011-07,197.396,
2011-10,198.261,
2012-01,198.077,
2012-04,199.388,
2012-07,200.679,
2012-10,201.669,
2013-01,201.382,
2013-04,202.087,
2013-07,203.823,
2013-10,204.634,
2014-01,204.761,
2014-04,206.163,
2014-07,207.674,
