"",BBK01.OELJ02M,BBK01.OELJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:24,
2002-01,1.339,
2002-04,1.344,
2002-07,1.409,
2002-10,1.508,
2003-01,1.423,
2003-04,1.501,
2003-07,1.560,
2003-10,1.701,
2004-01,1.669,
2004-04,1.726,
2004-07,1.902,
2004-10,1.868,
2005-01,1.836,
2005-04,1.963,
2005-07,2.039,
2005-10,2.102,
2006-01,1.973,
2006-04,2.045,
2006-07,2.163,
2006-10,2.276,
2007-01,2.264,
2007-04,2.239,
2007-07,2.367,
2007-10,2.435,
2008-01,2.334,
2008-04,2.439,
2008-07,2.599,
2008-10,2.605,
2009-01,2.599,
2009-04,2.823,
2009-07,3.198,
2009-10,3.246,
2010-01,3.400,
2010-04,3.570,
2010-07,3.708,
2010-10,3.894,
2011-01,3.917,
2011-04,3.989,
2011-07,4.189,
2011-10,3.935,
2012-01,4.037,
2012-04,4.112,
2012-07,4.300,
2012-10,4.453,
2013-01,4.449,
2013-04,4.358,
2013-07,4.798,
2013-10,5.069,
2014-01,5.169,
2014-04,5.297,
2014-07,5.714,
