"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:51,
2009-09,126805,
2009-10,124765,
2009-11,124596,
2009-12,125105,
2010-01,125282,
2010-02,125645,
2010-03,125972,
2010-04,128243,
2010-05,130000,
2010-06,130166,
2010-07,128665,
2010-08,131524,
2010-09,129445,
2010-10,127129,
2010-11,126510,
2010-12,128171,
2011-01,125828,
2011-02,126423,
2011-03,125172,
2011-04,124050,
2011-05,125167,
2011-06,125024,
2011-07,127755,
2011-08,130312,
2011-09,130299,
2011-10,130214,
2011-11,130463,
2011-12,132778,
2012-01,127752,
2012-02,127113,
2012-03,125484,
2012-04,125068,
2012-05,126394,
2012-06,124910,
2012-07,125633,
2012-08,125887,
2012-09,124547,
2012-10,122862,
2012-11,120867,
2012-12,119783,
2013-01,116213,
2013-02,117820,
2013-03,117762,
2013-04,117171,
2013-05,115575,
2013-06,115660,
2013-07,115929,
2013-08,115962,
2013-09,114912,
2013-10,113806,
2013-11,112574,
2013-12,112137,
2014-01,112871,
2014-02,112561,
2014-03,112750,
2014-04,110407,
2014-05,110881,
2014-06,112020,
2014-07,113109,
2014-08,114603,
2014-09,114636,
2014-10,116550,
2014-11,117004,
