"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / France / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:41,
2009-09,2457,
2009-10,2509,
2009-11,2713,
2009-12,2779,
2010-01,2947,
2010-02,2937,
2010-03,3033,
2010-04,3213,
2010-05,2970,
2010-06,2958,
2010-07,2919,
2010-08,2896,
2010-09,2625,
2010-10,2442,
2010-11,2349,
2010-12,2303,
2011-01,2404,
2011-02,2365,
2011-03,2371,
2011-04,2443,
2011-05,2539,
2011-06,2562,
2011-07,2692,
2011-08,2577,
2011-09,2755,
2011-10,2725,
2011-11,2470,
2011-12,2554,
2012-01,2501,
2012-02,2628,
2012-03,2507,
2012-04,2589,
2012-05,2662,
2012-06,2827,
2012-07,2703,
2012-08,2629,
2012-09,2570,
2012-10,2461,
2012-11,2471,
2012-12,2473,
2013-01,2401,
2013-02,2430,
2013-03,2439,
2013-04,2576,
2013-05,2518,
2013-06,2591,
2013-07,2722,
2013-08,2638,
2013-09,2612,
2013-10,2505,
2013-11,2478,
2013-12,2462,
2014-01,2576,
2014-02,2747,
2014-03,2782,
2014-04,2792,
2014-05,2922,
2014-06,2902,
2014-07,2909,
2014-08,2868,
2014-09,2960,
2014-10,2967,
2014-11,3224,
