"",BBK01.OEAE06P,BBK01.OEAE06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:05,
2002-01,0.699,
2002-04,0.710,
2002-07,0.717,
2002-10,0.743,
2003-01,0.701,
2003-04,0.722,
2003-07,0.725,
2003-10,0.737,
2004-01,0.736,
2004-04,0.725,
2004-07,0.717,
2004-10,0.706,
2005-01,0.723,
2005-04,0.708,
2005-07,0.694,
2005-10,0.694,
2006-01,0.701,
2006-04,0.709,
2006-07,0.682,
2006-10,0.720,
2007-01,0.717,
2007-04,0.706,
2007-07,0.720,
2007-10,0.720,
2008-01,0.707,
2008-04,0.686,
2008-07,0.685,
2008-10,0.733,
2009-01,0.801,
2009-04,0.793,
2009-07,0.798,
2009-10,0.777,
2010-01,0.835,
2010-04,0.818,
2010-07,0.810,
2010-10,0.851,
2011-01,0.832,
2011-04,0.856,
2011-07,0.811,
2011-10,0.854,
2012-01,0.849,
2012-04,0.868,
2012-07,0.844,
2012-10,0.840,
2013-01,0.824,
2013-04,0.896,
2013-07,0.849,
2013-10,0.899,
2014-01,0.906,
2014-04,0.896,
2014-07,0.912,
