"",BBFN1.M.DE.N.1.A.AU.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:30,
1982-09,0.159,
1982-10,0.158,
1982-11,0.159,
1982-12,0.191,
1983-01,0.191,
1983-02,0.187,
1983-03,0.187,
1983-04,0.186,
1983-05,0.191,
1983-06,0.193,
1983-07,0.194,
1983-08,0.195,
1983-09,0.195,
1983-10,0.205,
1983-11,0.208,
1983-12,0.222,
1984-01,0.222,
1984-02,0.222,
1984-03,0.222,
1984-04,0.222,
1984-05,0.223,
1984-06,0.223,
1984-07,0.224,
1984-08,0.225,
1984-09,0.225,
1984-10,0.239,
1984-11,0.237,
1984-12,0.243,
1985-01,0.240,
1985-02,0.241,
1985-03,0.237,
1985-04,0.236,
1985-05,0.245,
1985-06,0.243,
1985-07,0.242,
1985-08,0.243,
1985-09,0.241,
1985-10,0.239,
1985-11,0.240,
1985-12,0.261,
1986-01,0.246,
1986-02,0.245,
1986-03,0.247,
1986-04,0.246,
1986-05,0.245,
1986-06,0.242,
1986-07,0.242,
1986-08,0.242,
1986-09,0.237,
1986-10,0.247,
1986-11,0.247,
1986-12,0.199,
1987-01,0.189,
1987-02,0.190,
1987-03,0.190,
1987-04,0.190,
1987-05,0.190,
1987-06,0.190,
1987-07,0.191,
1987-08,0.190,
1987-09,0.191,
1987-10,0.202,
1987-11,0.195,
1987-12,0.187,
1988-01,0.180,
1988-02,0.180,
1988-03,0.177,
1988-04,0.177,
1988-05,0.177,
1988-06,0.171,
1988-07,0.171,
1988-08,0.171,
1988-09,0.181,
1988-10,0.182,
1988-11,0.182,
1988-12,0.186,
1989-01,0.183,
1989-02,0.186,
1989-03,0.179,
1989-04,0.180,
1989-05,0.179,
1989-06,0.180,
1989-07,0.187,
1989-08,0.173,
1989-09,0.182,
1989-10,0.180,
1989-11,0.180,
1989-12,0.207,
1990-01,0.206,
1990-02,0.203,
1990-03,0.203,
1990-04,0.209,
1990-05,0.210,
1990-06,0.209,
1990-07,0.208,
1990-08,0.211,
1990-09,0.212,
1990-10,0.213,
1990-11,0.212,
1990-12,0.212,
1991-01,0.212,
1991-02,0.212,
1991-03,0.212,
1991-04,0.212,
1991-05,0.204,
1991-06,0.205,
1991-07,0.207,
1991-08,0.210,
1991-09,0.196,
1991-10,0.169,
1991-11,0.169,
1991-12,0.110,
1992-01,0.109,
1992-02,0.110,
1992-03,0.111,
1992-04,0.112,
1992-05,0.111,
1992-06,0.110,
1992-07,0.111,
1992-08,0.110,
1992-09,0.111,
1992-10,0.111,
1992-11,0.111,
1992-12,0.110,
1993-01,0.111,
1993-02,0.111,
1993-03,0.109,
1993-04,0.110,
1993-05,0.108,
1993-06,0.111,
1993-07,0.111,
1993-08,0.115,
1993-09,0.117,
1993-10,0.117,
1993-11,0.117,
1993-12,0.117,
1994-01,0.115,
1994-02,0.115,
1994-03,0.115,
1994-04,0.118,
1994-05,0.118,
1994-06,0.119,
1994-07,0.129,
1994-08,0.131,
1994-09,0.131,
1994-10,0.129,
1994-11,0.129,
1994-12,0.144,
1995-01,0.146,
1995-02,0.147,
1995-03,0.145,
1995-04,0.145,
1995-05,0.156,
1995-06,0.154,
1995-07,0.162,
1995-08,0.157,
1995-09,0.157,
1995-10,0.162,
1995-11,0.153,
1995-12,0.182,
1996-01,0.185,
1996-02,0.184,
1996-03,0.185,
1996-04,0.182,
1996-05,0.180,
1996-06,0.172,
1996-07,0.172,
1996-08,0.167,
1996-09,0.169,
1996-10,0.172,
1996-11,0.172,
1996-12,0.185,
1997-01,0.185,
1997-02,0.185,
1997-03,0.184,
1997-04,0.184,
1997-05,0.183,
1997-06,0.209,
1997-07,0.209,
1997-08,0.210,
1997-09,0.212,
1997-10,0.218,
1997-11,0.219,
1997-12,0.247,
1998-01,0.246,
1998-02,0.251,
1998-03,0.256,
1998-04,0.260,
1998-05,0.265,
1998-06,0.269,
1998-07,0.268,
1998-08,0.268,
1998-09,0.291,
1998-10,0.293,
1998-11,0.292,
1998-12,0.279,
1999-01,0.271,
1999-02,0.272,
1999-03,0.272,
1999-04,0.272,
1999-05,0.266,
1999-06,0.279,
1999-07,0.282,
1999-08,0.286,
1999-09,0.286,
1999-10,0.297,
1999-11,0.259,
1999-12,0.176,
2000-01,0.181,
2000-02,0.152,
2000-03,0.134,
2000-04,0.131,
2000-05,0.131,
2000-06,0.132,
2000-07,0.127,
2000-08,0.129,
2000-09,0.100,
2000-10,0.094,
2000-11,0.094,
2000-12,0.091,
2001-01,0.078,
2001-02,0.075,
2001-03,0.075,
2001-04,0.080,
2001-05,0.080,
2001-06,0.076,
2001-07,0.068,
2001-08,0.071,
2001-09,0.067,
2001-10,0.072,
2001-11,0.070,
2001-12,0.070,
2002-01,0.064,
2002-02,0.070,
2002-03,0.062,
2002-04,0.060,
2002-05,0.057,
2002-06,0.057,
2002-07,0.053,
2002-08,0.052,
2002-09,0.049,
2002-10,0.056,
2002-11,0.051,
2002-12,0.048,
2003-01,0.049,
2003-02,0.050,
2003-03,0.049,
2003-04,0.049,
2003-05,0.047,
2003-06,0.046,
2003-07,0.049,
2003-08,0.051,
2003-09,0.050,
2003-10,0.050,
2003-11,0.065,
2003-12,0.038,
2004-01,0.035,
2004-02,0.037,
2004-03,0.037,
2004-04,0.037,
2004-05,0.038,
2004-06,0.031,
2004-07,0.032,
2004-08,0.031,
2004-09,0.033,
2004-10,0.033,
2004-11,0.038,
2004-12,0.036,
2005-01,0.038,
2005-02,0.040,
2005-03,0.031,
2005-04,0.030,
2005-05,0.030,
2005-06,0.030,
2005-07,0.030,
2005-08,0.019,
2005-09,0.024,
2005-10,0.025,
2005-11,0.030,
2005-12,0.031,
2006-01,0.033,
2006-02,0.030,
2006-03,0.031,
2006-04,0.075,
2006-05,0.076,
2006-06,1.053,
2006-07,1.053,
2006-08,1.050,
2006-09,1.052,
2006-10,1.063,
2006-11,1.063,
2006-12,1.080,
2007-01,1.086,
2007-02,1.087,
2007-03,1.082,
2007-04,1.085,
2007-05,1.083,
2007-06,1.083,
2007-07,0.137,
2007-08,0.144,
2007-09,0.206,
2007-10,0.208,
2007-11,0.300,
2007-12,0.301,
2008-01,0.300,
2008-02,0.306,
2008-03,0.310,
