"",BBSF2.M.1.S.I0000.SON01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.SON01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Domestic investors total / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:33,
2009-09,12,
2009-10,17,
2009-11,20,
2009-12,18,
2010-01,24,
2010-02,24,
2010-03,24,
2010-04,25,
2010-05,25,
2010-06,25,
2010-07,26,
2010-08,24,
2010-09,24,
2010-10,25,
2010-11,25,
2010-12,27,
2011-01,28,
2011-02,28,
2011-03,29,
2011-04,30,
2011-05,31,
2011-06,33,
2011-07,33,
2011-08,40,
2011-09,42,
2011-10,80,
2011-11,101,
2011-12,101,
2012-01,102,
2012-02,102,
2012-03,101,
2012-04,96,
2012-05,94,
2012-06,92,
2012-07,93,
2012-08,93,
2012-09,93,
2012-10,94,
2012-11,96,
2012-12,99,
2013-01,99,
2013-02,98,
2013-03,99,
2013-04,99,
2013-05,102,
2013-06,103,
2013-07,128,
2013-08,127,
2013-09,127,
2013-10,125,
2013-11,123,
2013-12,125,
2014-01,125,
2014-02,127,
2014-03,127,
2014-04,126,
2014-05,126,
2014-06,124,
2014-07,122,
2014-08,142,
2014-09,140,
2014-10,139,
2014-11,140,
