"",BBK01.OEBL07L,BBK01.OEBL07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:53,
2002-01,4.250,
2002-04,3.814,
2002-07,4.768,
2002-10,5.669,
2003-01,6.132,
2003-04,6.132,
2003-07,6.275,
2003-10,6.250,
2004-01,6.192,
2004-04,6.133,
2004-07,6.419,
2004-10,6.486,
2005-01,9.495,
2005-04,9.471,
2005-07,9.334,
2005-10,9.363,
2006-01,9.346,
2006-04,9.347,
2006-07,9.384,
2006-10,9.414,
2007-01,9.721,
2007-04,9.475,
2007-07,8.734,
2007-10,8.295,
2008-01,7.932,
2008-04,7.991,
2008-07,7.924,
2008-10,8.581,
2009-01,9.066,
2009-04,9.778,
2009-07,11.389,
2009-10,12.224,
2010-01,13.105,
2010-04,10.400,
2010-07,10.483,
2010-10,11.019,
2011-01,11.415,
2011-04,9.410,
2011-07,9.336,
2011-10,9.293,
2012-01,9.680,
2012-04,9.577,
2012-07,9.417,
2012-10,9.295,
2013-01,9.007,
2013-04,8.917,
2013-07,8.912,
2013-10,9.017,
2014-01,8.964,
2014-04,8.924,
2014-07,9.344,
