"",BBSF2.M.1.S.I0123.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:43,
2009-09,60,
2009-10,59,
2009-11,60,
2009-12,61,
2010-01,2230,
2010-02,2228,
2010-03,2631,
2010-04,2614,
2010-05,2631,
2010-06,2630,
2010-07,2666,
2010-08,2740,
2010-09,2835,
2010-10,2853,
2010-11,2886,
2010-12,2904,
2011-01,2935,
2011-02,3105,
2011-03,3099,
2011-04,3175,
2011-05,3177,
2011-06,3165,
2011-07,3012,
2011-08,3140,
2011-09,3126,
2011-10,3240,
2011-11,3199,
2011-12,3325,
2012-01,3388,
2012-02,3304,
2012-03,3293,
2012-04,3247,
2012-05,3186,
2012-06,3226,
2012-07,3267,
2012-08,3362,
2012-09,3429,
2012-10,3446,
2012-11,3480,
2012-12,3514,
2013-01,3552,
2013-02,3542,
2013-03,3546,
2013-04,3724,
2013-05,3750,
2013-06,3641,
2013-07,3720,
2013-08,3436,
2013-09,3660,
2013-10,3755,
2013-11,3715,
2013-12,3719,
2014-01,3685,
2014-02,3740,
2014-03,3952,
2014-04,3973,
2014-05,4037,
2014-06,4042,
2014-07,4018,
2014-08,4160,
2014-09,4162,
2014-10,4100,
2014-11,4259,
