"",BBK01.OEHI09N,BBK01.OEHI09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:16,
2002-01,12.345,
2002-04,11.813,
2002-07,12.143,
2002-10,12.099,
2003-01,11.808,
2003-04,11.449,
2003-07,11.043,
2003-10,11.284,
2004-01,11.327,
2004-04,11.168,
2004-07,10.974,
2004-10,10.898,
2005-01,10.536,
2005-04,10.098,
2005-07,10.143,
2005-10,10.543,
2006-01,11.278,
2006-04,11.645,
2006-07,12.003,
2006-10,12.851,
2007-01,13.081,
2007-04,12.999,
2007-07,13.010,
2007-10,13.130,
2008-01,13.052,
2008-04,12.807,
2008-07,12.666,
2008-10,12.944,
2009-01,12.807,
2009-04,12.867,
2009-07,13.038,
2009-10,13.603,
2010-01,13.776,
2010-04,13.294,
2010-07,12.536,
2010-10,11.497,
2011-01,10.636,
2011-04,10.579,
2011-07,10.770,
2011-10,10.826,
2012-01,10.862,
2012-04,10.832,
2012-07,10.626,
2012-10,10.678,
2013-01,10.387,
2013-04,10.124,
2013-07,9.617,
2013-10,9.413,
2014-01,9.322,
2014-04,9.374,
2014-07,9.339,
