"",BBK01.OEXM04K,BBK01.OEXM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:49,
2002-01,0.378,
2002-04,0.367,
2002-07,0.369,
2002-10,0.362,
2003-01,0.380,
2003-04,0.186,
2003-07,0.269,
2003-10,0.252,
2004-01,0.439,
2004-04,0.471,
2004-07,0.575,
2004-10,0.212,
2005-01,0.270,
2005-04,0.256,
2005-07,0.196,
2005-10,0.208,
2006-01,0.253,
2006-04,0.278,
2006-07,0.312,
2006-10,0.320,
2007-01,0.313,
2007-04,0.330,
2007-07,0.212,
2007-10,0.278,
2008-01,0.256,
2008-04,0.294,
2008-07,0.292,
2008-10,0.231,
2009-01,0.257,
2009-04,0.310,
2009-07,0.258,
2009-10,0.321,
2010-01,0.311,
2010-04,0.264,
2010-07,0.254,
2010-10,0.244,
2011-01,0.258,
2011-04,0.295,
2011-07,0.321,
2011-10,0.373,
2012-01,0.311,
2012-04,0.383,
2012-07,0.329,
2012-10,0.348,
2013-01,0.774,
2013-04,0.892,
2013-07,0.747,
2013-10,0.734,
2014-01,0.462,
2014-04,0.758,
2014-07,0.737,
