"",BBK01.OEBM01U,BBK01.OEBM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:20,
2002-01,0.460,
2002-04,0.502,
2002-07,0.478,
2002-10,0.457,
2003-01,0.463,
2003-04,0.481,
2003-07,0.448,
2003-10,0.488,
2004-01,0.494,
2004-04,0.497,
2004-07,0.535,
2004-10,0.527,
2005-01,0.521,
2005-04,0.547,
2005-07,0.620,
2005-10,0.587,
2006-01,0.636,
2006-04,0.640,
2006-07,0.694,
2006-10,0.711,
2007-01,0.667,
2007-04,0.799,
2007-07,0.785,
2007-10,0.841,
2008-01,0.760,
2008-04,0.819,
2008-07,0.829,
2008-10,0.914,
2009-01,0.863,
2009-04,0.884,
2009-07,0.889,
2009-10,0.762,
2010-01,0.746,
2010-04,0.699,
2010-07,0.749,
2010-10,0.753,
2011-01,0.748,
2011-04,0.750,
2011-07,0.809,
2011-10,0.804,
2012-01,0.825,
2012-04,0.830,
2012-07,0.848,
2012-10,0.823,
2013-01,0.820,
2013-04,0.852,
2013-07,0.818,
2013-10,0.744,
2014-01,0.760,
2014-04,0.786,
2014-07,0.785,
