"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:45,
2009-09,186396,
2009-10,181187,
2009-11,182766,
2009-12,194061,
2010-01,187629,
2010-02,189546,
2010-03,205848,
2010-04,210947,
2010-05,202778,
2010-06,192431,
2010-07,197391,
2010-08,192963,
2010-09,201856,
2010-10,211260,
2010-11,213859,
2010-12,227201,
2011-01,228225,
2011-02,231348,
2011-03,225669,
2011-04,230575,
2011-05,228636,
2011-06,224587,
2011-07,222643,
2011-08,192003,
2011-09,182275,
2011-10,198818,
2011-11,192711,
2011-12,196165,
2012-01,206668,
2012-02,214176,
2012-03,213883,
2012-04,208814,
2012-05,197693,
2012-06,201312,
2012-07,212297,
2012-08,214183,
2012-09,217744,
2012-10,218367,
2012-11,221762,
2012-12,227790,
2013-01,235131,
2013-02,239268,
2013-03,245387,
2013-04,248586,
2013-05,255619,
2013-06,243025,
2013-07,255695,
2013-08,253753,
2013-09,264305,
2013-10,276151,
2013-11,282807,
2013-12,282371,
2014-01,274490,
2014-02,285098,
2014-03,284429,
2014-04,288440,
2014-05,295678,
2014-06,296213,
2014-07,291846,
2014-08,297732,
2014-09,295813,
2014-10,294751,
2014-11,304450,
