"",BBDA1.M.DE.Y.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.US.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / United States / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:24,
1990-07,2.18,
1990-08,2.09,
1990-09,1.90,
1990-10,2.00,
1990-11,1.76,
1990-12,1.54,
1991-01,1.76,
1991-02,1.75,
1991-03,1.81,
1991-04,1.72,
1991-05,1.69,
1991-06,1.67,
1991-07,1.75,
1991-08,1.98,
1991-09,1.84,
1991-10,1.73,
1991-11,2.02,
1991-12,1.72,
1992-01,1.86,
1992-02,1.69,
1992-03,1.88,
1992-04,1.86,
1992-05,1.67,
1992-06,1.69,
1992-07,2.00,
1992-08,1.70,
1992-09,1.84,
1992-10,1.85,
1992-11,1.74,
1992-12,1.97,
1993-01,1.88,
1993-02,1.85,
1993-03,1.89,
1993-04,1.84,
1993-05,1.86,
1993-06,2.03,
1993-07,1.98,
1993-08,2.07,
1993-09,1.85,
1993-10,2.08,
1993-11,2.18,
1993-12,2.25,
1994-01,2.21,
1994-02,2.22,
1994-03,2.18,
1994-04,2.21,
1994-05,2.34,
1994-06,2.38,
1994-07,2.16,
1994-08,2.34,
1994-09,2.28,
1994-10,2.35,
1994-11,2.63,
1994-12,2.31,
1995-01,2.37,
1995-02,2.32,
1995-03,2.28,
1995-04,2.34,
1995-05,2.39,
1995-06,2.31,
1995-07,2.24,
1995-08,2.15,
1995-09,2.36,
1995-10,2.35,
1995-11,2.46,
1995-12,2.38,
1996-01,2.28,
1996-02,2.41,
1996-03,2.36,
1996-04,2.46,
1996-05,2.56,
1996-06,2.41,
1996-07,2.51,
1996-08,2.67,
1996-09,2.78,
1996-10,2.95,
1996-11,2.76,
1996-12,2.66,
1997-01,2.89,
1997-02,3.00,
1997-03,3.20,
1997-04,3.13,
1997-05,3.13,
1997-06,3.11,
1997-07,3.28,
1997-08,3.21,
1997-09,3.81,
1997-10,3.50,
1997-11,3.39,
1997-12,3.67,
1998-01,3.69,
1998-02,3.74,
1998-03,3.95,
1998-04,3.95,
1998-05,3.77,
1998-06,3.73,
1998-07,3.87,
1998-08,3.71,
1998-09,3.83,
1998-10,3.74,
1998-11,3.81,
1998-12,3.93,
1999-01,3.88,
1999-02,3.66,
1999-03,3.89,
1999-04,4.43,
1999-05,4.02,
1999-06,4.21,
1999-07,4.67,
1999-08,4.27,
1999-09,4.16,
1999-10,4.38,
1999-11,4.68,
1999-12,4.68,
2000-01,4.51,
2000-02,4.84,
2000-03,5.08,
2000-04,4.69,
2000-05,5.18,
2000-06,5.24,
2000-07,5.34,
2000-08,5.27,
2000-09,4.96,
2000-10,5.71,
2000-11,5.48,
2000-12,5.40,
2001-01,6.31,
2001-02,5.53,
2001-03,5.60,
2001-04,5.76,
2001-05,5.69,
2001-06,6.09,
2001-07,5.93,
2001-08,5.78,
2001-09,5.44,
2001-10,5.66,
2001-11,4.95,
2001-12,5.55,
2002-01,5.55,
2002-02,5.59,
2002-03,6.04,
2002-04,5.69,
2002-05,5.47,
2002-06,5.56,
2002-07,5.85,
2002-08,6.19,
2002-09,5.84,
2002-10,5.80,
2002-11,5.71,
2002-12,5.38,
2003-01,5.74,
2003-02,5.44,
2003-03,5.12,
2003-04,5.07,
2003-05,5.37,
2003-06,5.05,
2003-07,4.98,
2003-08,5.04,
2003-09,5.29,
2003-10,4.98,
2003-11,4.98,
2003-12,5.00,
2004-01,5.32,
2004-02,5.25,
