"",BBDE1.M.DE.Y.GUA1.P2XF22020.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF22020.BA.V.ABA.A_FLAGS
"","Turnover / At current prices, flows / Germany / Residential construction - turnover from construction work / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 09:28:35,
1991-01,2.04,
1991-02,1.88,
1991-03,1.99,
1991-04,2.05,
1991-05,2.09,
1991-06,2.12,
1991-07,2.12,
1991-08,2.08,
1991-09,2.06,
1991-10,2.07,
1991-11,2.11,
1991-12,2.14,
1992-01,2.11,
1992-02,2.38,
1992-03,2.37,
1992-04,2.33,
1992-05,2.33,
1992-06,2.30,
1992-07,2.26,
1992-08,2.34,
1992-09,2.35,
1992-10,2.40,
1992-11,2.48,
1992-12,2.96,
1993-01,2.50,
1993-02,2.37,
1993-03,2.44,
1993-04,2.48,
1993-05,2.55,
1993-06,2.60,
1993-07,2.64,
1993-08,2.71,
1993-09,2.79,
1993-10,2.81,
1993-11,2.79,
1993-12,2.70,
1994-01,3.16,
1994-02,3.18,
1994-03,3.20,
1994-04,3.22,
1994-05,3.21,
1994-06,3.25,
1994-07,3.31,
1994-08,3.24,
1994-09,3.38,
1994-10,3.47,
1994-11,3.54,
1994-12,3.71,
1995-01,3.50,
1995-02,3.89,
1995-03,3.63,
1995-04,3.47,
1995-05,3.46,
1995-06,3.43,
1995-07,3.34,
1995-08,3.34,
1995-09,3.36,
1995-10,3.28,
1995-11,3.27,
1995-12,3.32,
1996-01,2.99,
1996-02,2.79,
1996-03,3.06,
1996-04,3.37,
1996-05,3.48,
1996-06,3.57,
1996-07,3.57,
1996-08,3.59,
1996-09,3.56,
1996-10,3.49,
1996-11,3.56,
1996-12,3.59,
1997-01,3.12,
1997-02,3.51,
1997-03,3.56,
1997-04,3.47,
1997-05,3.48,
1997-06,3.45,
1997-07,3.39,
1997-08,3.37,
1997-09,3.33,
1997-10,3.30,
1997-11,3.26,
1997-12,3.16,
1998-01,3.27,
1998-02,3.30,
1998-03,4.08,
1998-04,3.09,
1998-05,3.04,
1998-06,3.09,
1998-07,3.17,
1998-08,3.14,
1998-09,3.08,
1998-10,3.22,
1998-11,3.11,
1998-12,3.18,
1999-01,3.24,
1999-02,3.07,
1999-03,3.06,
1999-04,3.25,
1999-05,3.20,
1999-06,3.18,
1999-07,3.19,
1999-08,3.16,
1999-09,3.24,
1999-10,3.15,
1999-11,3.18,
1999-12,3.13,
2000-01,3.21,
2000-02,3.25,
2000-03,3.21,
2000-04,3.08,
2000-05,3.03,
2000-06,2.89,
2000-07,2.84,
2000-08,2.85,
2000-09,2.81,
2000-10,2.65,
2000-11,2.70,
2000-12,2.65,
2001-01,2.58,
2001-02,2.65,
2001-03,2.49,
2001-04,2.39,
2001-05,2.49,
2001-06,2.50,
2001-07,2.43,
2001-08,2.42,
2001-09,2.39,
2001-10,2.36,
2001-11,2.36,
2001-12,2.28,
2002-01,2.46,
2002-02,2.42,
2002-03,2.44,
2002-04,2.38,
2002-05,2.28,
2002-06,2.31,
2002-07,2.26,
2002-08,2.26,
2002-09,2.22,
2002-10,2.21,
2002-11,2.25,
2002-12,2.19,
2003-01,2.11,
2003-02,2.13,
2003-03,2.21,
2003-04,2.35,
2003-05,2.30,
2003-06,2.25,
2003-07,2.34,
2003-08,2.32,
2003-09,2.28,
2003-10,2.34,
2003-11,2.32,
2003-12,2.37,
2004-01,2.31,
2004-02,2.46,
2004-03,2.30,
2004-04,2.25,
2004-05,2.22,
2004-06,2.25,
2004-07,2.21,
2004-08,2.14,
2004-09,2.12,
2004-10,2.14,
2004-11,2.05,
2004-12,2.13,
2005-01,2.07,
2005-02,1.87,
2005-03,1.70,
2005-04,2.01,
2005-05,2.09,
2005-06,2.06,
2005-07,2.05,
2005-08,2.07,
2005-09,2.11,
2005-10,2.08,
2005-11,2.11,
2005-12,2.05,
2006-01,1.94,
2006-02,1.94,
2006-03,1.74,
2006-04,2.11,
2006-05,2.26,
2006-06,2.24,
2006-07,2.25,
2006-08,2.23,
2006-09,2.26,
2006-10,2.28,
2006-11,2.34,
2006-12,2.90,
2007-01,2.32,
2007-02,2.35,
2007-03,2.19,
2007-04,2.10,
2007-05,2.08,
2007-06,2.08,
2007-07,2.11,
2007-08,2.11,
2007-09,2.09,
2007-10,2.10,
2007-11,2.09,
2007-12,1.98,
2008-01,2.34,
2008-02,2.67,
2008-03,2.26,
2008-04,2.15,
2008-05,2.11,
2008-06,2.09,
2008-07,2.08,
2008-08,2.13,
2008-09,2.12,
2008-10,2.14,
2008-11,2.10,
2008-12,2.04,
2009-01,1.96,
2009-02,1.99,
2009-03,2.04,
2009-04,2.12,
2009-05,2.11,
2009-06,2.07,
2009-07,2.07,
