"",BBK01.OEAC17M,BBK01.OEAC17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:26,
2002-01,4.532,
2002-04,4.444,
2002-07,4.037,
2002-10,3.487,
2003-01,3.662,
2003-04,3.604,
2003-07,3.294,
2003-10,2.984,
2004-01,3.097,
2004-04,2.992,
2004-07,2.772,
2004-10,2.819,
2005-01,2.845,
2005-04,2.787,
2005-07,2.824,
2005-10,2.460,
2006-01,2.732,
2006-04,2.881,
2006-07,2.947,
2006-10,2.904,
2007-01,2.939,
2007-04,2.935,
2007-07,2.730,
2007-10,3.052,
2008-01,3.045,
2008-04,2.984,
2008-07,3.032,
2008-10,2.691,
2009-01,3.210,
2009-04,3.050,
2009-07,2.722,
2009-10,2.631,
2010-01,2.873,
2010-04,2.700,
2010-07,2.760,
2010-10,2.391,
2011-01,2.809,
2011-04,2.738,
2011-07,2.797,
2011-10,2.724,
2012-01,2.856,
2012-04,2.806,
2012-07,2.886,
2012-10,2.743,
2013-01,2.930,
2013-04,2.862,
2013-07,2.861,
2013-10,2.751,
2014-01,2.673,
2014-04,2.771,
2014-07,2.604,
