"",BBK01.OEBB12M,BBK01.OEBB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:29,
2002-01,4.392,
2002-04,4.389,
2002-07,4.415,
2002-10,4.520,
2003-01,4.375,
2003-04,4.380,
2003-07,4.336,
2003-10,4.305,
2004-01,4.217,
2004-04,4.197,
2004-07,4.235,
2004-10,3.968,
2005-01,4.117,
2005-04,3.930,
2005-07,3.921,
2005-10,3.898,
2006-01,3.890,
2006-04,3.902,
2006-07,3.940,
2006-10,3.940,
2007-01,3.985,
2007-04,4.028,
2007-07,3.927,
2007-10,3.969,
2008-01,4.020,
2008-04,4.112,
2008-07,4.101,
2008-10,4.169,
2009-01,4.163,
2009-04,4.350,
2009-07,4.431,
2009-10,4.642,
2010-01,4.718,
2010-04,4.823,
2010-07,5.031,
2010-10,5.239,
2011-01,5.306,
2011-04,5.408,
2011-07,5.459,
2011-10,5.503,
2012-01,5.529,
2012-04,5.605,
2012-07,5.619,
2012-10,5.822,
2013-01,5.803,
2013-04,5.843,
2013-07,5.886,
2013-10,5.844,
2014-01,5.666,
2014-04,5.836,
2014-07,5.854,
