"",BBFB1.M.N.DE.W1.S1.S1.T.D.SC12._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SC12._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Sea transport / Frachten / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:13,
1991-01,306.893,
1991-02,306.893,
1991-03,306.893,
1991-04,318.943,
1991-05,318.943,
1991-06,318.943,
1991-07,313.599,
1991-08,313.599,
1991-09,313.599,
1991-10,279.204,
1991-11,279.204,
1991-12,279.204,
1992-01,300.155,
1992-02,300.155,
1992-03,300.155,
1992-04,278.550,
1992-05,278.550,
1992-06,278.550,
1992-07,269.634,
1992-08,269.634,
1992-09,269.634,
1992-10,296.177,
1992-11,296.177,
1992-12,296.177,
1993-01,259.146,
1993-02,259.146,
1993-03,259.146,
1993-04,255.552,
1993-05,255.552,
1993-06,255.552,
1993-07,272.988,
1993-08,272.988,
1993-09,272.988,
1993-10,277.832,
1993-11,277.832,
1993-12,277.832,
1994-01,288.193,
1994-02,288.193,
1994-03,288.193,
1994-04,288.429,
1994-05,288.429,
1994-06,288.429,
1994-07,298.658,
1994-08,298.658,
1994-09,298.658,
1994-10,314.189,
1994-11,314.189,
1994-12,314.189,
1995-01,296.506,
1995-02,296.506,
1995-03,296.506,
1995-04,297.405,
1995-05,297.405,
1995-06,297.405,
1995-07,302.915,
1995-08,302.915,
1995-09,302.915,
1995-10,316.413,
1995-11,316.413,
1995-12,316.413,
1996-01,304.539,
1996-02,316.581,
1996-03,319.377,
1996-04,306.261,
1996-05,308.123,
1996-06,319.273,
1996-07,350.898,
1996-08,299.499,
1996-09,337.915,
1996-10,353.536,
1996-11,333.942,
1996-12,311.143,
1997-01,356.227,
1997-02,325.383,
1997-03,336.351,
1997-04,366.790,
1997-05,349.514,
1997-06,365.272,
1997-07,384.455,
1997-08,331.804,
1997-09,404.151,
1997-10,414.100,
1997-11,377.203,
1997-12,352.087,
1998-01,381.223,
1998-02,365.848,
1998-03,394.958,
1998-04,405.284,
1998-05,331.819,
1998-06,391.388,
1998-07,396.119,
1998-08,361.234,
1998-09,376.379,
1998-10,416.795,
1998-11,358.897,
1998-12,382.517,
1999-01,336.532,
1999-02,349.831,
1999-03,382.221,
1999-04,380.842,
1999-05,356.342,
1999-06,378.625,
1999-07,411.181,
1999-08,393.797,
1999-09,404.618,
1999-10,421.058,
1999-11,435.096,
1999-12,419.587,
2000-01,443.544,
2000-02,447.289,
2000-03,496.201,
2000-04,453.195,
2000-05,529.583,
2000-06,483.938,
2000-07,485.082,
2000-08,531.399,
2000-09,540.130,
2000-10,593.720,
2000-11,588.881,
2000-12,525.779,
2001-01,525.327,
2001-02,484.591,
2001-03,507.353,
2001-04,514.882,
2001-05,513.374,
2001-06,482.146,
2001-07,514.195,
2001-08,504.798,
2001-09,485.013,
2001-10,526.271,
2001-11,535.484,
2001-12,433.683,
2002-01,468.025,
2002-02,436.529,
2002-03,477.569,
2002-04,550.817,
2002-05,457.955,
2002-06,514.332,
2002-07,470.269,
2002-08,489.307,
2002-09,526.770,
2002-10,556.702,
2002-11,523.265,
2002-12,458.115,
2003-01,544.054,
2003-02,473.317,
2003-03,519.568,
2003-04,512.619,
2003-05,473.689,
2003-06,496.558,
2003-07,477.972,
2003-08,470.315,
2003-09,498.538,
2003-10,535.784,
2003-11,552.220,
2003-12,486.274,
2004-01,494.111,
