"",BBK01.OEAH38K,BBK01.OEAH38K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:43,
2002-01,0.104,
2002-04,0.091,
2002-07,0.086,
2002-10,0.092,
2003-01,0.087,
2003-04,0.089,
2003-07,0.095,
2003-10,0.088,
2004-01,0.100,
2004-04,0.109,
2004-07,0.111,
2004-10,0.139,
2005-01,0.141,
2005-04,0.141,
2005-07,0.141,
2005-10,0.140,
2006-01,0.129,
2006-04,0.128,
2006-07,0.124,
2006-10,0.124,
2007-01,0.117,
2007-04,0.115,
2007-07,0.113,
2007-10,0.111,
2008-01,0.110,
2008-04,0.104,
2008-07,0.104,
2008-10,0.098,
2009-01,0.095,
2009-04,0.096,
2009-07,0.091,
2009-10,0.086,
2010-01,0.085,
2010-04,0.092,
2010-07,0.093,
2010-10,0.092,
2011-01,0.093,
2011-04,0.089,
2011-07,0.072,
2011-10,0.072,
2012-01,0.072,
2012-04,0.072,
2012-07,0.071,
2012-10,0.074,
2013-01,0.085,
2013-04,0.085,
2013-07,0.084,
2013-10,0.085,
2014-01,0.064,
2014-04,0.065,
2014-07,1.431,
