"",BBK01.OELJ04V,BBK01.OELJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:42,
2002-01,0.358,
2002-04,0.360,
2002-07,0.355,
2002-10,0.367,
2003-01,0.349,
2003-04,0.343,
2003-07,0.332,
2003-10,0.353,
2004-01,0.321,
2004-04,0.209,
2004-07,0.297,
2004-10,0.320,
2005-01,0.292,
2005-04,0.289,
2005-07,0.299,
2005-10,0.307,
2006-01,0.305,
2006-04,0.337,
2006-07,0.333,
2006-10,0.354,
2007-01,0.355,
2007-04,0.362,
2007-07,0.373,
2007-10,0.391,
2008-01,0.413,
2008-04,0.432,
2008-07,0.606,
2008-10,0.559,
2009-01,0.513,
2009-04,0.423,
2009-07,0.398,
2009-10,0.421,
2010-01,0.416,
2010-04,0.376,
2010-07,0.384,
2010-10,0.406,
2011-01,0.410,
2011-04,0.444,
2011-07,0.510,
2011-10,0.408,
2012-01,0.345,
2012-04,0.356,
2012-07,0.309,
2012-10,0.312,
2013-01,0.305,
2013-04,0.240,
2013-07,0.217,
2013-10,0.211,
2014-01,0.255,
2014-04,0.234,
2014-07,0.235,
