"",BBK01.OEAH18K,BBK01.OEAH18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:35,
2002-01,12.600,
2002-04,12.685,
2002-07,11.666,
2002-10,13.353,
2003-01,11.415,
2003-04,11.227,
2003-07,11.821,
2003-10,11.806,
2004-01,10.667,
2004-04,10.664,
2004-07,13.364,
2004-10,10.582,
2005-01,9.386,
2005-04,8.140,
2005-07,8.397,
2005-10,8.196,
2006-01,8.992,
2006-04,9.967,
2006-07,10.399,
2006-10,10.828,
2007-01,12.124,
2007-04,11.811,
2007-07,12.636,
2007-10,13.746,
2008-01,13.150,
2008-04,14.902,
2008-07,16.497,
2008-10,16.414,
2009-01,12.674,
2009-04,11.644,
2009-07,9.812,
2009-10,9.503,
2010-01,9.025,
2010-04,9.479,
2010-07,9.217,
2010-10,10.255,
2011-01,9.033,
2011-04,10.129,
2011-07,10.778,
2011-10,10.023,
2012-01,9.201,
2012-04,8.805,
2012-07,7.748,
2012-10,7.284,
2013-01,7.766,
2013-04,7.178,
2013-07,5.976,
2013-10,5.991,
2014-01,5.703,
2014-04,6.129,
2014-07,6.294,
