"",BBK01.OEAE33S,BBK01.OEAE33S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:00,
2002-01,0.560,
2002-04,0.539,
2002-07,0.553,
2002-10,0.529,
2003-01,0.519,
2003-04,0.526,
2003-07,0.527,
2003-10,0.544,
2004-01,0.534,
2004-04,0.538,
2004-07,0.541,
2004-10,0.492,
2005-01,0.491,
2005-04,0.486,
2005-07,0.491,
2005-10,0.505,
2006-01,0.493,
2006-04,0.501,
2006-07,0.491,
2006-10,0.508,
2007-01,0.510,
2007-04,0.505,
2007-07,0.506,
2007-10,0.527,
2008-01,0.518,
2008-04,0.521,
2008-07,0.529,
2008-10,0.546,
2009-01,0.535,
2009-04,0.550,
2009-07,0.533,
2009-10,0.839,
2010-01,0.535,
2010-04,0.547,
2010-07,0.551,
2010-10,0.572,
2011-01,0.562,
2011-04,0.573,
2011-07,0.570,
2011-10,0.575,
2012-01,0.579,
2012-04,0.639,
2012-07,0.617,
2012-10,0.624,
2013-01,0.630,
2013-04,0.626,
2013-07,0.633,
2013-10,0.633,
2014-01,0.621,
2014-04,0.622,
2014-07,0.628,
