"",BBK01.PQU350,BBK01.PQU350_FLAGS
"",Lending to domestic enterprises and resident individuals / Total / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:42,
1999-01,94.136,
1999-04,94.043,
1999-07,94.786,
1999-10,95.864,
2000-01,96.013,
2000-04,97.146,
2000-07,98.514,
2000-10,99.544,
2001-01,100.044,
2001-04,100.924,
2001-07,101.904,
2001-10,102.486,
2002-01,102.565,
2002-04,103.428,
2002-07,104.547,
2002-10,105.621,
2003-01,105.834,
2003-04,106.911,
2003-07,108.237,
2003-10,107.811,
2004-01,108.100,
2004-04,107.873,
2004-07,106.136,
2004-10,106.253,
2005-01,103.753,
2005-04,103.502,
2005-07,103.169,
2005-10,102.703,
2006-01,102.028,
2006-04,101.851,
2006-07,102.466,
2006-10,103.263,
2007-01,103.378,
2007-04,103.763,
2007-07,104.508,
2007-10,104.532,
2008-01,104.669,
2008-04,105.530,
2008-07,106.864,
2008-10,107.559,
2009-01,107.534,
2009-04,108.218,
2009-07,109.443,
2009-10,110.046,
2010-01,109.810,
2010-04,110.021,
2010-07,110.234,
2010-10,110.192,
2011-01,110.221,
2011-04,110.881,
2011-07,111.859,
2011-10,112.422,
2012-01,112.659,
2012-04,113.029,
2012-07,113.531,
2012-10,113.691,
2013-01,113.604,
2013-04,113.772,
2013-07,114.642,
2013-10,115.116,
2014-01,115.557,
2014-04,116.273,
2014-07,116.976,
2014-10,117.401,
