"",BBK01.OEAM01Q,BBK01.OEAM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:13,
2002-01,1.904,
2002-04,1.866,
2002-07,1.617,
2002-10,1.829,
2003-01,1.641,
2003-04,1.477,
2003-07,1.743,
2003-10,1.752,
2004-01,1.520,
2004-04,1.448,
2004-07,1.445,
2004-10,2.162,
2005-01,1.721,
2005-04,1.806,
2005-07,1.776,
2005-10,2.059,
2006-01,1.999,
2006-04,2.837,
2006-07,2.742,
2006-10,3.320,
2007-01,3.018,
2007-04,3.958,
2007-07,3.988,
2007-10,4.366,
2008-01,4.271,
2008-04,4.369,
2008-07,4.903,
2008-10,5.126,
2009-01,5.979,
2009-04,5.884,
2009-07,6.269,
2009-10,4.888,
2010-01,4.705,
2010-04,4.988,
2010-07,5.289,
2010-10,4.591,
2011-01,4.296,
2011-04,5.087,
2011-07,5.521,
2011-10,6.302,
2012-01,5.962,
2012-04,6.384,
2012-07,6.601,
2012-10,6.871,
2013-01,7.444,
2013-04,9.607,
2013-07,8.946,
2013-10,8.652,
2014-01,9.714,
2014-04,9.451,
2014-07,9.061,
