"",BBK01.OEAB15N,BBK01.OEAB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:32,
2002-01,6.836,
2002-04,6.833,
2002-07,6.823,
2002-10,6.637,
2003-01,6.834,
2003-04,6.773,
2003-07,6.640,
2003-10,6.448,
2004-01,6.216,
2004-04,6.332,
2004-07,6.386,
2004-10,6.291,
2005-01,6.248,
2005-04,6.213,
2005-07,6.159,
2005-10,6.206,
2006-01,6.239,
2006-04,6.216,
2006-07,6.235,
2006-10,6.203,
2007-01,6.101,
2007-04,6.101,
2007-07,6.099,
2007-10,6.110,
2008-01,6.215,
2008-04,6.319,
2008-07,6.350,
2008-10,6.312,
2009-01,6.092,
2009-04,6.156,
2009-07,6.284,
2009-10,6.346,
2010-01,6.223,
2010-04,6.303,
2010-07,6.323,
2010-10,6.214,
2011-01,6.335,
2011-04,6.439,
2011-07,6.493,
2011-10,6.550,
2012-01,6.594,
2012-04,6.110,
2012-07,6.129,
2012-10,6.148,
2013-01,6.100,
2013-04,6.168,
2013-07,6.222,
2013-10,6.188,
2014-01,6.173,
2014-04,6.130,
2014-07,6.169,
