"",BBFN1.M.DE.N.1.A.ES.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:07,
1975-12,0.057,
1976-01,0.054,
1976-02,0.053,
1976-03,0.050,
1976-04,0.051,
1976-05,0.051,
1976-06,0.059,
1976-07,0.058,
1976-08,0.053,
1976-09,0.078,
1976-10,0.085,
1976-11,0.080,
1976-12,0.082,
1977-01,0.078,
1977-02,0.073,
1977-03,0.068,
1977-04,0.079,
1977-05,0.076,
1977-06,0.074,
1977-07,0.079,
1977-08,0.071,
1977-09,0.081,
1977-10,0.073,
1977-11,0.078,
1977-12,0.082,
1978-01,0.081,
1978-02,0.079,
1978-03,0.077,
1978-04,0.076,
1978-05,0.080,
1978-06,0.079,
1978-07,0.091,
1978-08,0.090,
1978-09,0.086,
1978-10,0.088,
1978-11,0.101,
1978-12,0.101,
1979-01,0.099,
1979-02,0.100,
1979-03,0.095,
1979-04,0.098,
1979-05,0.099,
1979-06,0.102,
1979-07,0.102,
1979-08,0.095,
1979-09,0.094,
1979-10,0.106,
1979-11,0.100,
1979-12,0.100,
1980-01,0.093,
1980-02,0.096,
1980-03,0.091,
1980-04,0.093,
1980-05,0.096,
1980-06,0.092,
1980-07,0.101,
1980-08,0.101,
1980-09,0.076,
1980-10,0.075,
1980-11,0.082,
1980-12,0.080,
1981-01,0.086,
1981-02,0.084,
1981-03,0.081,
1981-04,0.085,
1981-05,0.088,
1981-06,0.098,
1981-07,0.100,
1981-08,0.113,
1981-09,0.110,
1981-10,0.092,
1981-11,0.088,
1981-12,0.101,
1982-01,0.100,
1982-02,0.106,
1982-03,0.098,
1982-04,0.106,
1982-05,0.106,
1982-06,0.115,
1982-07,0.121,
1982-08,0.113,
1982-09,0.113,
1982-10,0.102,
1982-11,0.106,
1982-12,0.108,
1983-01,0.103,
1983-02,0.092,
1983-03,0.095,
1983-04,0.096,
1983-05,0.093,
1983-06,0.099,
1983-07,0.094,
1983-08,0.099,
1983-09,0.095,
1983-10,0.088,
1983-11,0.090,
1983-12,0.090,
1984-01,0.085,
1984-02,0.087,
1984-03,0.088,
1984-04,0.085,
1984-05,0.092,
1984-06,0.090,
1984-07,0.086,
1984-08,0.118,
1984-09,0.119,
1984-10,0.119,
1984-11,0.107,
1984-12,0.078,
1985-01,0.076,
1985-02,0.087,
1985-03,0.086,
1985-04,0.081,
1985-05,0.098,
1985-06,0.116,
1985-07,0.135,
1985-08,0.122,
1985-09,0.126,
1985-10,0.120,
1985-11,0.103,
1985-12,0.095,
1986-01,0.101,
1986-02,0.094,
1986-03,0.090,
1986-04,0.099,
1986-05,0.092,
1986-06,0.101,
1986-07,0.099,
1986-08,0.101,
1986-09,0.094,
