"",BBK01.CEH330,BBK01.CEH330_FLAGS
"",Securities other than shares debtor: Monetary financial institutions                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:59,
1991-01,22.8,
1991-04,15.4,
1991-07,14.6,
1991-10,15.6,
1992-01,15.8,
1992-04,8.4,
1992-07,21.5,
1992-10,7.0,
1993-01,38.7,
1993-04,11.1,
1993-07,19.6,
1993-10,20.1,
1994-01,13.0,
1994-04,9.4,
1994-07,13.9,
1994-10,15.2,
1995-01,14.5,
1995-04,15.7,
1995-07,25.3,
1995-10,26.2,
1996-01,33.4,
1996-04,20.8,
1996-07,23.8,
1996-10,21.9,
1997-01,41.5,
1997-04,24.3,
1997-07,26.1,
1997-10,8.6,
1998-01,43.6,
1998-04,32.4,
1998-07,38.3,
1998-10,15.8,
1999-01,58.5,
1999-04,48.5,
1999-07,46.8,
1999-10,31.7,
2000-01,27.6,
2000-04,52.8,
2000-07,44.0,
2000-10,-3.4,
2001-01,35.0,
2001-04,7.1,
2001-07,1.7,
2001-10,5.6,
2002-01,34.0,
2002-04,-1.0,
2002-07,5.3,
2002-10,-25.7,
2003-01,11.1,
2003-04,-0.1,
2003-07,8.2,
2003-10,0.1,
2004-01,44.9,
2004-04,22.8,
2004-07,21.6,
2004-10,-28.2,
2005-01,38.3,
2005-04,54.2,
2005-07,-5.5,
2005-10,-26.9,
2006-01,27.4,
2006-04,-0.4,
2006-07,3.2,
2006-10,-1.9,
2007-01,31.1,
2007-04,17.9,
2007-07,-15.0,
2007-10,-10.6,
2008-01,-7.7,
2008-04,20.7,
2008-07,-2.0,
2008-10,-28.8,
2009-01,-35.7,
2009-04,-18.8,
2009-07,-27.0,
2009-10,-35.9,
2010-01,1.8,
2010-04,-15.4,
2010-07,-55.9,
2010-10,-25.5,
2011-01,-35.4,
2011-04,-25.2,
2011-07,0.1,
2011-10,-1.1,
2012-01,-42.7,
2012-04,-7.1,
2012-07,-19.8,
2012-10,-46.2,
2013-01,-19.5,
2013-04,-37.5,
2013-07,-22.7,
2013-10,-43.7,
2014-01,-17.9,
