"",BBK01.OEXL03Q,BBK01.OEXL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:03,
2002-01,0.644,
2002-04,0.643,
2002-07,0.691,
2002-10,0.634,
2003-01,0.598,
2003-04,0.582,
2003-07,0.553,
2003-10,0.721,
2004-01,0.781,
2004-04,0.784,
2004-07,1.116,
2004-10,0.792,
2005-01,0.704,
2005-04,0.708,
2005-07,0.759,
2005-10,0.858,
2006-01,1.097,
2006-04,1.262,
2006-07,1.506,
2006-10,1.622,
2007-01,1.623,
2007-04,1.711,
2007-07,1.755,
2007-10,1.939,
2008-01,2.090,
2008-04,2.153,
2008-07,2.329,
2008-10,2.257,
2009-01,1.731,
2009-04,1.388,
2009-07,1.253,
2009-10,0.995,
2010-01,0.956,
2010-04,0.940,
2010-07,0.907,
2010-10,0.911,
2011-01,0.935,
2011-04,0.945,
2011-07,0.980,
2011-10,1.017,
2012-01,1.034,
2012-04,1.001,
2012-07,0.988,
2012-10,0.991,
2013-01,1.001,
2013-04,1.013,
2013-07,1.027,
2013-10,0.971,
2014-01,0.892,
2014-04,0.872,
2014-07,0.805,
