"",BBFB1.Q.N.DE.U3.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:08,
1991-01,1534.081,
1991-04,1148.041,
1991-07,1244.274,
1991-10,1047.329,
1992-01,897.748,
1992-04,446.964,
1992-07,949.347,
1992-10,643.025,
1993-01,556.802,
1993-04,168.601,
1993-07,188.930,
1993-10,990.174,
1994-01,182.140,
1994-04,-442.623,
1994-07,60.648,
1994-10,1701.459,
1995-01,319.400,
1995-04,-224.747,
1995-07,196.155,
1995-10,2798.149,
1996-01,-115.589,
1996-04,-926.640,
1996-07,-1333.948,
1996-10,2019.943,
1997-01,-737.306,
1997-04,-1697.430,
1997-07,-1339.684,
1997-10,1090.598,
1998-01,-1353.328,
1998-04,-2912.917,
1998-07,-3064.938,
1998-10,-446.330,
1999-01,-2166.437,
1999-04,-3302.769,
1999-07,-3189.088,
1999-10,-137.738,
2000-01,-3574.713,
2000-04,-5060.130,
2000-07,-4859.696,
2000-10,-2119.803,
2001-01,-1171.760,
2001-04,-2116.252,
2001-07,-1481.680,
2001-10,2871.065,
2002-01,-1530.434,
2002-04,-3725.810,
2002-07,-2802.907,
2002-10,793.436,
2003-01,-72.202,
2003-04,-2494.988,
2003-07,-951.033,
2003-10,3457.549,
2004-01,-713.941,
2004-04,-3823.988,
2004-07,-1416.486,
2004-10,2955.054,
2005-01,828.694,
2005-04,-1720.176,
2005-07,500.138,
2005-10,4665.188,
2006-01,260.641,
2006-04,-2311.957,
2006-07,1166.762,
2006-10,6724.498,
2007-01,1667.463,
2007-04,-6230.332,
2007-07,-184.729,
2007-10,5780.497,
2008-01,856.162,
2008-04,-8198.465,
2008-07,-2281.001,
2008-10,4618.577,
2009-01,500.963,
2009-04,-4604.437,
2009-07,616.735,
2009-10,6388.157,
2010-01,2293.271,
2010-04,-1865.146,
2010-07,1804.718,
2010-10,8861.223,
2011-01,3121.385,
2011-04,-1009.327,
2011-07,2591.435,
2011-10,8274.502,
2012-01,3096.331,
2012-04,-1205.185,
2012-07,2645.960,
2012-10,7896.877,
2013-01,2643.455,
2013-04,374.559,
2013-07,1691.959,
2013-10,7247.147,
2014-01,2634.171,Provisional value
2014-04,-2529.733,Provisional value
2014-07,1385.520,Provisional value
