"",BBK01.OEYI05I,BBK01.OEYI05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:01,
2002-01,28.899,
2002-04,28.860,
2002-07,28.768,
2002-10,28.112,
2003-01,28.041,
2003-04,27.186,
2003-07,27.496,
2003-10,29.322,
2004-01,30.039,
2004-04,30.054,
2004-07,30.691,
2004-10,31.004,
2005-01,32.109,
2005-04,30.439,
2005-07,30.846,
2005-10,31.821,
2006-01,32.853,
2006-04,34.451,
2006-07,35.359,
2006-10,35.394,
2007-01,35.756,
2007-04,36.763,
2007-07,37.351,
2007-10,36.995,
2008-01,36.878,
2008-04,37.551,
2008-07,37.953,
2008-10,37.867,
2009-01,37.617,
2009-04,37.407,
2009-07,37.358,
2009-10,37.036,
2010-01,36.623,
2010-04,36.295,
2010-07,36.754,
2010-10,36.886,
2011-01,36.868,
2011-04,37.571,
2011-07,37.154,
2011-10,36.757,
2012-01,35.789,
2012-04,35.711,
2012-07,35.419,
2012-10,34.809,
2013-01,34.463,
2013-04,34.325,
2013-07,33.185,
2013-10,32.811,
2014-01,33.720,
2014-04,33.325,
2014-07,32.841,
