"",BBNZ1.Q.DE.N.I.0000.A,BBNZ1.Q.DE.N.I.0000.A_FLAGS
"",Germany / National accounts / Overall economy / GDP / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:22,
1991-01,74.78,
1991-04,77.04,
1991-07,77.66,
1991-10,80.55,
1992-01,79.28,
1992-04,80.95,
1992-07,81.95,
1992-10,84.29,
1993-01,83.18,
1993-04,84.74,
1993-07,85.05,
1993-10,86.99,
1994-01,85.57,
1994-04,86.38,
1994-07,86.77,
1994-10,88.59,
1995-01,86.96,
1995-04,88.28,
1995-07,88.73,
1995-10,90.25,
1996-01,88.21,
1996-04,88.72,
1996-07,88.95,
1996-10,90.51,
1997-01,88.55,
1997-04,88.85,
1997-07,89.15,
1997-10,90.68,
1998-01,88.68,
1998-04,89.54,
1998-07,89.85,
1998-10,91.34,
1999-01,89.52,
1999-04,89.90,
1999-07,90.07,
1999-10,91.05,
2000-01,89.25,
2000-04,89.20,
2000-07,89.71,
2000-10,90.75,
2001-01,89.76,
2001-04,90.11,
2001-07,90.91,
2001-10,92.68,
2002-01,91.33,
2002-04,91.25,
2002-07,92.18,
2002-10,93.58,
2003-01,92.42,
2003-04,92.51,
2003-07,93.45,
2003-10,94.43,
2004-01,93.45,
2004-04,93.87,
2004-07,94.30,
2004-10,95.27,
2005-01,94.22,
2005-04,94.36,
2005-07,94.80,
2005-10,95.85,
2006-01,94.38,
2006-04,94.71,
2006-07,95.02,
2006-10,96.26,
2007-01,95.82,
2007-04,96.19,
2007-07,96.71,
2007-10,98.09,
2008-01,96.77,
2008-04,97.12,
2008-07,97.38,
2008-10,98.88,
2009-01,98.14,
2009-04,98.62,
2009-07,99.34,
2009-10,100.89,
2010-01,99.16,
2010-04,99.26,
2010-07,99.93,
2010-10,101.60,
2011-01,100.01,
2011-04,100.57,
2011-07,101.13,
2011-10,102.83,
2012-01,101.38,
2012-04,101.96,
2012-07,102.69,
2012-10,104.61,
2013-01,103.46,
2013-04,104.30,
2013-07,104.69,
2013-10,106.61,
2014-01,105.39,
2014-04,106.18,
2014-07,106.42,
2014-10,108.29,
