"",BBK01.OECL01G,BBK01.OECL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:18,
2002-01,4.625,
2002-04,4.520,
2002-07,4.403,
2002-10,4.618,
2003-01,4.400,
2003-04,4.387,
2003-07,4.436,
2003-10,4.582,
2004-01,4.359,
2004-04,4.481,
2004-07,4.692,
2004-10,4.905,
2005-01,10.691,
2005-04,10.941,
2005-07,10.788,
2005-10,10.932,
2006-01,10.900,
2006-04,10.810,
2006-07,10.498,
2006-10,10.682,
2007-01,11.048,
2007-04,11.485,
2007-07,11.729,
2007-10,12.584,
2008-01,12.766,
2008-04,13.105,
2008-07,13.771,
2008-10,15.421,
2009-01,15.310,
2009-04,15.565,
2009-07,15.155,
2009-10,14.678,
2010-01,14.237,
2010-04,14.281,
2010-07,14.006,
2010-10,14.242,
2011-01,14.032,
2011-04,14.185,
2011-07,14.164,
2011-10,14.176,
2012-01,14.923,
2012-04,15.013,
2012-07,14.978,
2012-10,14.889,
2013-01,14.487,
2013-04,14.518,
2013-07,14.209,
2013-10,14.306,
2014-01,14.107,
2014-04,14.140,
2014-07,14.295,
