"",BBK01.OECB07L,BBK01.OECB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:27,
2002-01,2.635,
2002-04,2.638,
2002-07,2.688,
2002-10,1.947,
2003-01,1.898,
2003-04,1.667,
2003-07,1.436,
2003-10,1.638,
2004-01,1.249,
2004-04,1.289,
2004-07,1.347,
2004-10,1.271,
2005-01,2.017,
2005-04,2.139,
2005-07,2.386,
2005-10,2.899,
2006-01,2.981,
2006-04,3.155,
2006-07,3.162,
2006-10,3.374,
2007-01,6.993,
2007-04,7.052,
2007-07,7.098,
2007-10,7.292,
2008-01,8.117,
2008-04,8.018,
2008-07,7.842,
2008-10,7.700,
2009-01,7.054,
2009-04,7.908,
2009-07,7.667,
2009-10,7.695,
2010-01,5.235,
2010-04,5.159,
2010-07,5.241,
2010-10,5.376,
2011-01,5.226,
2011-04,5.213,
2011-07,5.332,
2011-10,4.714,
2012-01,4.715,
2012-04,4.600,
2012-07,4.711,
2012-10,5.696,
2013-01,5.742,
2013-04,5.704,
2013-07,5.537,
2013-10,4.361,
2014-01,4.263,
2014-04,4.377,
2014-07,4.156,
