"",BBK01.OEXB20L,BBK01.OEXB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:41,
2002-01,8.492,
2002-04,8.702,
2002-07,8.943,
2002-10,9.163,
2003-01,9.575,
2003-04,9.893,
2003-07,10.337,
2003-10,10.942,
2004-01,11.575,
2004-04,12.797,
2004-07,13.743,
2004-10,15.072,
2005-01,15.976,
2005-04,17.593,
2005-07,20.290,
2005-10,24.310,
2006-01,26.477,
2006-04,29.289,
2006-07,31.653,
2006-10,33.984,
2007-01,35.454,
2007-04,37.019,
2007-07,38.737,
2007-10,43.718,
2008-01,45.178,
2008-04,45.225,
2008-07,45.651,
2008-10,46.113,
2009-01,45.907,
2009-04,47.281,
2009-07,48.873,
2009-10,50.071,
2010-01,50.591,
2010-04,51.630,
2010-07,53.036,
2010-10,54.356,
2011-01,55.371,
2011-04,56.798,
2011-07,58.228,
2011-10,59.548,
2012-01,60.081,
2012-04,61.058,
2012-07,62.580,
2012-10,63.374,
2013-01,63.551,
2013-04,64.041,
2013-07,65.023,
2013-10,65.727,
2014-01,66.097,
2014-04,66.990,
2014-07,67.573,
