"",BBK01.OEAE11S,BBK01.OEAE11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:50,
2002-01,0.176,
2002-04,0.181,
2002-07,0.167,
2002-10,0.143,
2003-01,0.131,
2003-04,0.130,
2003-07,0.123,
2003-10,0.116,
2004-01,0.114,
2004-04,0.134,
2004-07,0.138,
2004-10,0.123,
2005-01,0.116,
2005-04,0.123,
2005-07,0.138,
2005-10,0.131,
2006-01,0.119,
2006-04,0.097,
2006-07,0.101,
2006-10,0.111,
2007-01,0.096,
2007-04,0.089,
2007-07,0.091,
2007-10,0.064,
2008-01,0.078,
2008-04,0.073,
2008-07,0.060,
2008-10,0.061,
2009-01,0.083,
2009-04,0.076,
2009-07,0.072,
2009-10,0.076,
2010-01,0.070,
2010-04,0.068,
2010-07,0.044,
2010-10,0.036,
2011-01,0.034,
2011-04,0.046,
2011-07,0.043,
2011-10,0.046,
2012-01,0.029,
2012-04,0.029,
2012-07,0.028,
2012-10,0.028,
2013-01,0.035,
2013-04,0.038,
2013-07,0.041,
2013-10,0.057,
2014-01,0.042,
2014-04,0.046,
2014-07,0.041,
