"",BBK01.TUE300,BBK01.TUE300_FLAGS
"",Currency in circulation / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:04,
1997-09,311130,
1997-10,311743,
1997-11,314711,
1997-12,320613,
1998-01,311447,
1998-02,311816,
1998-03,311850,
1998-04,314876,
1998-05,317277,
1998-06,315514,
1998-07,320714,
1998-08,315093,
1998-09,311822,
1998-10,313371,
1998-11,314283,
1998-12,323436,
1999-01,314333,
1999-02,313910,
1999-03,318574,
1999-04,320733,
1999-05,322403,
1999-06,324790,
1999-07,332862,
1999-08,327373,
1999-09,328282,
1999-10,330554,
1999-11,331071,
1999-12,350787,
2000-01,333840,
2000-02,331989,
2000-03,335456,
2000-04,338582,
2000-05,338382,
2000-06,342023,
2000-07,343909,
2000-08,338781,
2000-09,339817,
2000-10,337602,
2000-11,337698,
2000-12,348369,
2001-01,336070,
2001-02,335031,
2001-03,336281,
2001-04,336171,
2001-05,332902,
2001-06,333023,
2001-07,328033,
2001-08,319234,
2001-09,309607,
2001-10,295453,
2001-11,279707,
2001-12,239720,
2002-01,246680,
2002-02,240476,
2002-03,254298,
2002-04,261655,
2002-05,273847,
2002-06,285696,
2002-07,296574,
2002-08,301114,
2002-09,306676,
2002-10,313872,
2002-11,321353,
2002-12,341158,
2003-01,312120,
2003-02,319317,
2003-03,327218,
2003-04,336320,
2003-05,343756,
2003-06,351042,
2003-07,361475,
2003-08,362668,
2003-09,364830,
2003-10,371239,
2003-11,379148,
2003-12,397902,
2004-01,389117,
2004-02,393469,
2004-03,399591,
2004-04,409373,
2004-05,416623,
2004-06,423014,
2004-07,436246,
2004-08,433400,
2004-09,438041,
2004-10,444394,
2004-11,448753,
2004-12,468426,
2005-01,459893,
2005-02,463566,
2005-03,471751,
2005-04,481074,
2005-05,485829,
2005-06,496407,
2005-07,506284,
2005-08,500775,
2005-09,507014,
2005-10,510363,
2005-11,514338,
2005-12,532738,
2006-01,520777,
2006-02,524765,
2006-03,532187,
2006-04,540257,
2006-05,543523,
2006-06,553658,
2006-07,562621,
2006-08,558909,
2006-09,563110,
2006-10,566998,
2006-11,571419,
2006-12,592122,
2007-01,575640,
2007-02,578720,
2007-03,588522,
2007-04,594796,
2007-05,597610,
2007-06,604978,
2007-07,612926,
2007-08,610644,
2007-09,610479,
2007-10,613502,
2007-11,618655,
2007-12,638551,
2008-01,623127,
2008-02,628987,
2008-03,632868,
2008-04,641391,
2008-05,645746,
2008-06,652087,
2008-07,658817,
2008-08,655993,
2008-09,657080,
2008-10,698784,
2008-11,703624,
2008-12,722746,
2009-01,712199,
2009-02,715829,
2009-03,719841,
2009-04,729136,
2009-05,731911,
2009-06,734897,
2009-07,745341,
2009-08,741044,
2009-09,740515,
2009-10,745290,
2009-11,749965,
2009-12,769871,
2010-01,757084,
2010-02,759517,
2010-03,768585,
2010-04,772608,
2010-05,778963,
2010-06,785493,
2010-07,793930,
2010-08,787969,
2010-09,786756,
2010-10,789040,
2010-11,790206,
2010-12,808562,
2011-01,796249,
2011-02,796244,
2011-03,798344,
2011-04,805450,
2011-05,810435,
2011-06,819663,
2011-07,828194,
2011-08,823445,
2011-09,831170,
2011-10,837498,
2011-11,841367,
2011-12,857482,
2012-01,842958,
2012-02,842541,
2012-03,844906,
2012-04,847598,
2012-05,856303,
2012-06,867744,
2012-07,871509,
2012-08,870166,
2012-09,866652,
2012-10,864266,
2012-11,864074,
2012-12,876787,
2013-01,856975,
2013-02,855786,
2013-03,867536,
2013-04,874708,
2013-05,879698,
2013-06,885908,
2013-07,892804,
2013-08,894196,
2013-09,894026,
2013-10,897951,
2013-11,903364,
2013-12,921221,
2014-01,908272,
2014-02,910194,
2014-03,916522,
2014-04,921814,
2014-05,928897,
2014-06,935294,
2014-07,944707,
2014-08,946755,
2014-09,947024,
2014-10,950566,
2014-11,956813,
2014-12,980634,
2015-01,979082,
