"",BBFN1.M.DE.N.1.L.GR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Greece,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:30,
1994-07,0.260,
1994-08,0.274,
1994-09,0.269,
1994-10,0.258,
1994-11,0.265,
1994-12,0.262,
1995-01,0.272,
1995-02,0.305,
1995-03,0.264,
1995-04,0.240,
1995-05,0.256,
1995-06,0.262,
1995-07,0.260,
1995-08,0.273,
1995-09,0.273,
1995-10,0.241,
1995-11,0.245,
1995-12,0.222,
1996-01,0.226,
1996-02,0.234,
1996-03,0.235,
1996-04,0.237,
1996-05,0.246,
1996-06,0.273,
1996-07,0.293,
1996-08,0.336,
1996-09,0.446,
1996-10,0.438,
1996-11,0.424,
1996-12,0.432,
1997-01,0.443,
1997-02,0.419,
1997-03,0.470,
1997-04,0.475,
1997-05,0.479,
1997-06,0.482,
1997-07,0.515,
1997-08,0.519,
1997-09,0.523,
1997-10,0.466,
1997-11,0.517,
1997-12,0.526,
1998-01,0.572,
1998-02,0.642,
1998-03,0.618,
1998-04,0.677,
1998-05,0.748,
1998-06,0.674,
1998-07,0.708,
1998-08,0.729,
1998-09,0.710,
1998-10,0.728,
1998-11,0.743,
1998-12,0.781,
1999-01,0.797,
1999-02,0.811,
1999-03,0.823,
1999-04,0.864,
1999-05,0.939,
1999-06,0.957,
1999-07,1.009,
1999-08,0.989,
1999-09,0.927,
1999-10,1.080,
1999-11,0.964,
1999-12,0.984,
2000-01,1.018,
2000-02,1.004,
2000-03,1.003,
2000-04,1.037,
2000-05,1.048,
2000-06,1.118,
2000-07,1.041,
2000-08,1.081,
2000-09,1.105,
2000-10,0.882,
2000-11,0.893,
2000-12,0.889,
2001-01,0.920,
2001-02,0.892,
2001-03,0.892,
2001-04,0.896,
2001-05,0.921,
2001-06,0.997,
2001-07,0.986,
2001-08,0.911,
2001-09,0.881,
2001-10,0.952,
2001-11,0.946,
2001-12,0.947,
2002-01,0.932,
2002-02,0.917,
2002-03,0.912,
2002-04,0.901,
2002-05,0.964,
2002-06,0.984,
2002-07,0.959,
2002-08,1.020,
2002-09,1.017,
2002-10,1.101,
2002-11,1.010,
2002-12,1.039,
2003-01,1.035,
2003-02,1.029,
2003-03,1.046,
2003-04,1.007,
2003-05,1.009,
2003-06,1.166,
2003-07,1.170,
2003-08,1.483,
2003-09,1.462,
2003-10,1.478,
2003-11,1.161,
2003-12,1.123,
2004-01,1.144,
2004-02,1.102,
2004-03,1.248,
2004-04,1.219,
2004-05,1.219,
2004-06,1.257,
2004-07,1.299,
2004-08,1.280,
2004-09,1.292,
2004-10,1.290,
2004-11,1.274,
2004-12,1.288,
2005-01,1.257,
2005-02,1.281,
2005-03,1.574,
2005-04,1.580,
2005-05,1.581,
2005-06,1.569,
2005-07,1.578,
2005-08,1.546,
2005-09,1.241,
2005-10,1.248,
2005-11,1.237,
2005-12,1.252,
2006-01,1.300,
2006-02,1.195,
2006-03,1.191,
2006-04,1.212,
2006-05,1.205,
2006-06,1.239,
2006-07,1.256,
2006-08,1.196,
2006-09,1.210,
2006-10,1.190,
2006-11,1.173,
2006-12,1.178,
2007-01,1.140,
2007-02,1.101,
2007-03,1.091,
2007-04,1.093,
2007-05,1.118,
2007-06,1.087,
2007-07,1.128,
2007-08,1.143,
2007-09,1.146,
2007-10,1.105,
2007-11,1.051,
2007-12,1.045,
2008-01,0.963,
2008-02,0.967,
2008-03,0.904,
2008-04,0.902,
2008-05,0.914,
2008-06,0.955,
2008-07,0.937,
2008-08,0.912,
2008-09,0.926,
2008-10,0.895,
2008-11,0.841,
2008-12,0.810,
2009-01,0.767,
2009-02,0.783,
2009-03,0.773,
2009-04,0.749,
2009-05,0.728,
2009-06,0.752,
2009-07,0.716,
2009-08,0.672,
2009-09,0.711,
2009-10,0.706,
2009-11,0.692,
2009-12,0.692,
2010-01,0.661,
2010-02,0.679,
2010-03,0.703,
2010-04,0.696,
2010-05,0.707,
2010-06,0.719,
2010-07,0.714,
2010-08,0.718,
2010-09,0.780,
2010-10,0.831,
2010-11,0.758,
2010-12,0.549,
2011-01,0.518,
2011-02,0.542,
2011-03,0.571,
2011-04,0.569,
2011-05,0.573,
2011-06,0.582,
2011-07,0.599,
2011-08,0.547,
2011-09,0.598,
2011-10,0.607,
2011-11,0.597,
2011-12,0.603,
2012-01,0.586,
2012-02,0.586,
2012-03,0.573,
2012-04,0.517,
2012-05,0.492,
2012-06,0.486,
2012-07,0.488,
2012-08,0.453,
2012-09,0.380,
2012-10,0.353,
2012-11,0.357,
2012-12,0.379,
2013-01,0.328,
2013-02,0.327,
2013-03,0.323,
2013-04,0.343,
2013-05,0.344,
2013-06,0.375,
2013-07,0.399,
2013-08,0.389,
2013-09,0.436,
2013-10,0.629,
2013-11,0.504,
2013-12,0.514,
2014-01,0.470,
2014-02,0.438,
2014-03,0.426,
2014-04,0.444,
2014-05,0.455,
2014-06,0.358,
2014-07,0.372,
2014-08,0.371,
2014-09,0.367,
2014-10,0.355,
2014-11,0.327,
2014-12,0.335,
