"",BBFN1.M.DE.N.1.A.NO.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NO.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:47,
1975-12,0.007,
1976-01,0.007,
1976-02,0.009,
1976-03,0.008,
1976-04,0.009,
1976-05,0.012,
1976-06,0.012,
1976-07,0.010,
1976-08,0.009,
1976-09,0.009,
1976-10,0.011,
1976-11,0.012,
1976-12,0.012,
1977-01,0.010,
1977-02,0.010,
1977-03,0.011,
1977-04,0.011,
1977-05,0.010,
1977-06,0.009,
1977-07,0.008,
1977-08,0.008,
1977-09,0.007,
1977-10,0.009,
1977-11,0.009,
1977-12,0.009,
1978-01,0.008,
1978-02,0.007,
1978-03,0.006,
1978-04,0.007,
1978-05,0.007,
1978-06,0.006,
1978-07,0.021,
1978-08,0.007,
1978-09,0.023,
1978-10,0.015,
1978-11,0.021,
1978-12,0.014,
1979-01,0.020,
1979-02,0.018,
1979-03,0.021,
1979-04,0.025,
1979-05,0.027,
1979-06,0.028,
1979-07,0.027,
1979-08,0.028,
1979-09,0.029,
1979-10,0.021,
1979-11,0.023,
1979-12,0.015,
1980-01,0.017,
1980-02,0.019,
1980-03,0.021,
1980-04,0.020,
1980-05,0.019,
1980-06,0.021,
1980-07,0.022,
1980-08,0.020,
1980-09,0.020,
1980-10,0.018,
1980-11,0.018,
1980-12,0.019,
1981-01,0.019,
1981-02,0.017,
1981-03,0.019,
1981-04,0.018,
1981-05,0.018,
1981-06,0.016,
1981-07,0.029,
1981-08,0.024,
1981-09,0.031,
1981-10,0.037,
1981-11,0.036,
1981-12,0.034,
1982-01,0.042,
1982-02,0.044,
1982-03,0.041,
1982-04,0.038,
1982-05,0.043,
1982-06,0.041,
1982-07,0.042,
1982-08,0.042,
1982-09,0.044,
1982-10,0.049,
1982-11,0.046,
1982-12,0.045,
1983-01,0.047,
1983-02,0.048,
1983-03,0.048,
1983-04,0.049,
1983-05,0.049,
1983-06,0.053,
1983-07,0.053,
1983-08,0.056,
1983-09,0.055,
1983-10,0.059,
1983-11,0.061,
1983-12,0.061,
1984-01,0.066,
1984-02,0.058,
1984-03,0.060,
1984-04,0.067,
1984-05,0.066,
1984-06,0.066,
1984-07,0.065,
1984-08,0.068,
1984-09,0.093,
1984-10,0.093,
1984-11,0.082,
