"",BBK01.OEAA50H,BBK01.OEAA50H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:02,
2002-01,11.288,
2002-04,9.122,
2002-07,10.101,
2002-10,7.005,
2003-01,8.548,
2003-04,6.475,
2003-07,6.339,
2003-10,5.057,
2004-01,4.807,
2004-04,4.359,
2004-07,5.949,
2004-10,6.045,
2005-01,9.034,
2005-04,7.861,
2005-07,8.159,
2005-10,8.677,
2006-01,8.732,
2006-04,11.046,
2006-07,9.341,
2006-10,10.660,
2007-01,21.659,
2007-04,20.215,
2007-07,18.117,
2007-10,17.400,
2008-01,20.537,
2008-04,21.214,
2008-07,21.881,
2008-10,21.159,
2009-01,16.162,
2009-04,13.588,
2009-07,11.173,
2009-10,10.493,
2010-01,9.699,
2010-04,14.478,
2010-07,12.085,
2010-10,10.982,
2011-01,10.832,
2011-04,14.138,
2011-07,19.257,
2011-10,14.099,
2012-01,12.215,
2012-04,13.156,
2012-07,14.809,
2012-10,13.664,
2013-01,13.646,
2013-04,10.867,
2013-07,11.311,
2013-10,8.658,
2014-01,10.525,
2014-04,12.484,
2014-07,11.782,
