"",BBK01.CELBN0,BBK01.CELBN0_FLAGS
"",long-term debt securities                         debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:11,
1999-01,24.5,
1999-04,26.6,
1999-07,19.1,
1999-10,15.0,
2000-01,30.7,
2000-04,10.7,
2000-07,18.6,
2000-10,8.8,
2001-01,30.9,
2001-04,27.0,
2001-07,5.9,
2001-10,24.8,
2002-01,10.7,
2002-04,15.5,
2002-07,5.7,
2002-10,7.9,
2003-01,14.0,
2003-04,24.4,
2003-07,4.2,
2003-10,10.3,
2004-01,25.9,
2004-04,24.3,
2004-07,18.7,
2004-10,17.9,
2005-01,55.0,
2005-04,43.5,
2005-07,8.3,
2005-10,32.1,
2006-01,43.4,
2006-04,43.7,
2006-07,35.6,
2006-10,36.0,
2007-01,72.3,
2007-04,59.9,
2007-07,-9.6,
2007-10,3.1,
2008-01,25.8,
2008-04,56.7,
2008-07,-5.5,
2008-10,-48.5,
2009-01,18.0,
2009-04,55.6,
2009-07,39.4,
2009-10,31.5,
2010-01,44.5,
2010-04,25.3,
2010-07,-8.3,
2010-10,90.0,
2011-01,15.2,
2011-04,7.4,
2011-07,-17.3,
2011-10,-12.5,
2012-01,35.9,
2012-04,51.7,
2012-07,20.3,
2012-10,40.0,
2013-01,9.3,
2013-04,13.2,
2013-07,13.4,
2013-10,18.3,
2014-01,21.2,
2014-04,17.5,
2014-07,9.6,
