"",BBK01.OEYB12V,BBK01.OEYB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:04,
2002-01,6.380,
2002-04,6.383,
2002-07,6.307,
2002-10,6.275,
2003-01,6.242,
2003-04,5.869,
2003-07,5.954,
2003-10,5.894,
2004-01,5.756,
2004-04,5.779,
2004-07,5.800,
2004-10,5.848,
2005-01,5.753,
2005-04,5.803,
2005-07,5.617,
2005-10,5.722,
2006-01,5.637,
2006-04,5.724,
2006-07,5.549,
2006-10,5.425,
2007-01,5.341,
2007-04,5.130,
2007-07,5.121,
2007-10,4.922,
2008-01,4.826,
2008-04,3.765,
2008-07,3.545,
2008-10,3.817,
2009-01,3.621,
2009-04,3.497,
2009-07,3.541,
2009-10,4.735,
2010-01,4.807,
2010-04,5.108,
2010-07,5.166,
2010-10,5.166,
2011-01,5.148,
2011-04,5.110,
2011-07,5.273,
2011-10,5.156,
2012-01,5.166,
2012-04,5.159,
2012-07,5.013,
2012-10,4.779,
2013-01,4.659,
2013-04,4.642,
2013-07,4.760,
2013-10,4.691,
2014-01,4.691,
2014-04,4.457,
2014-07,4.385,
