"",BBFN1.M.DE.N.1.L.LY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2006-08,.,No value available
2006-09,.,No value available
2006-10,.,No value available
2006-11,.,No value available
2006-12,.,No value available
2007-01,.,No value available
2007-02,.,No value available
2007-03,.,No value available
2007-04,.,No value available
2007-05,.,No value available
2007-06,.,No value available
2007-07,.,No value available
2007-08,0.098,
2007-09,0.114,
2007-10,.,No value available
2007-11,.,No value available
2007-12,.,No value available
2008-01,.,No value available
2008-02,.,No value available
2008-03,.,No value available
2008-04,.,No value available
2008-05,0.225,
2008-06,0.184,
2008-07,0.126,
2008-08,0.148,
2008-09,0.153,
2008-10,0.166,
2008-11,0.153,
2008-12,0.179,
2009-01,0.180,
2009-02,0.154,
2009-03,0.204,
2009-04,0.196,
2009-05,0.202,
2009-06,0.095,
2009-07,0.112,
2009-08,0.118,
2009-09,0.112,
2009-10,0.129,
2009-11,0.130,
2009-12,0.129,
2010-01,0.092,
2010-02,0.090,
2010-03,0.090,
2010-04,0.147,
2010-05,0.185,
2010-06,0.098,
2010-07,0.096,
2010-08,0.117,
2010-09,0.119,
2010-10,0.115,
2010-11,0.112,
2010-12,0.048,
2011-01,0.050,
2011-02,0.093,
2011-03,0.090,
2011-04,0.085,
2011-05,0.078,
2011-06,0.066,
2011-07,0.060,
2011-08,0.102,
2011-09,0.099,
2011-10,0.093,
2011-11,0.081,
2011-12,0.364,
2012-01,0.110,
2012-02,0.080,
2012-03,0.139,
2012-04,0.228,
2012-05,0.237,
2012-06,0.266,
2012-07,0.264,
2012-08,0.151,
2012-09,0.167,
2012-10,0.181,
2012-11,0.206,
2012-12,0.213,
2013-01,0.260,
2013-02,0.266,
2013-03,0.266,
2013-04,0.118,
2013-05,0.133,
2013-06,0.112,
2013-07,0.082,
2013-08,0.077,
2013-09,0.064,
2013-10,0.055,
2013-11,0.020,
2013-12,0.006,
2014-01,0.004,
2014-02,0.004,
2014-03,0.004,
2014-04,0.004,
2014-05,0.003,
2014-06,0.002,
2014-07,0.006,
2014-08,0.028,
2014-09,0.013,
2014-10,0.008,
2014-11,0.064,
2014-12,0.085,
