"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:38,
1991-01,2799.823,
1991-04,328.247,
1991-07,-255.447,
1991-10,1055.282,
1992-01,513.345,
1992-04,-803.645,
1992-07,3596.967,
1992-10,1675.946,
1993-01,4120.337,
1993-04,2369.289,
1993-07,505.857,
1993-10,3405.050,
1994-01,-671.172,
1994-04,1396.339,
1994-07,-57.736,
1994-10,1240.106,
1995-01,2332.106,
1995-04,6880.796,
1995-07,5330.235,
1995-10,99.613,
1996-01,5291.154,
1996-04,2608.360,
1996-07,4806.299,
1996-10,7723.658,
1997-01,23574.897,
1997-04,3972.035,
1997-07,4157.620,
1997-10,5964.532,
1998-01,14605.526,
1998-04,9521.131,
1998-07,10798.625,
1998-10,21219.123,
1999-01,18039.996,
1999-04,32791.998,
1999-07,-4531.440,
1999-10,9044.474,
2000-01,38868.903,
2000-04,18550.965,
2000-07,8020.777,
2000-10,25100.022,
2001-01,39173.213,
2001-04,50104.716,
2001-07,-7228.527,
2001-10,11807.242,
2002-01,3768.192,
2002-04,-8971.698,
2002-07,3878.159,
2002-10,1784.846,
2003-01,16107.791,
2003-04,11323.528,
2003-07,3269.521,
2003-10,-820.704,
2004-01,2419.808,
2004-04,4976.313,
2004-07,7836.431,
2004-10,355.197,
2005-01,20561.913,
2005-04,-5118.122,
2005-07,6622.302,
2005-10,-1588.585,
2006-01,8949.912,
2006-04,10327.983,
2006-07,8598.804,
2006-10,25595.713,
2007-01,3952.733,
2007-04,24221.449,
2007-07,24795.961,
2007-10,58430.581,
2008-01,26949.558,
2008-04,-27693.272,
2008-07,13690.017,
2008-10,-36180.346,
2009-01,-4203.414,
2009-04,9972.033,
2009-07,-17099.821,
2009-10,-22509.677,
2010-01,1336.217,
2010-04,18075.054,
2010-07,-9426.685,
2010-10,17064.360,
2011-01,-4305.832,
2011-04,5821.077,
2011-07,979.485,
2011-10,-343.600,
2012-01,-4116.866,
2012-04,-16365.355,
2012-07,-12170.619,
2012-10,-2388.888,
2013-01,-3601.855,
2013-04,8788.957,
2013-07,3437.681,
2013-10,-11889.174,
2014-01,1903.991,Provisional value
2014-04,3290.119,Provisional value
2014-07,1070.725,Provisional value
2014-10,2189.671,Provisional value
