"",BBK01.OEAC19J,BBK01.OEAC19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:39,
2002-01,0.145,
2002-04,0.138,
2002-07,0.155,
2002-10,0.153,
2003-01,0.154,
2003-04,0.153,
2003-07,0.131,
2003-10,0.112,
2004-01,0.122,
2004-04,0.128,
2004-07,0.131,
2004-10,0.091,
2005-01,0.093,
2005-04,0.097,
2005-07,0.096,
2005-10,0.081,
2006-01,0.091,
2006-04,0.095,
2006-07,0.092,
2006-10,0.073,
2007-01,0.091,
2007-04,0.108,
2007-07,0.107,
2007-10,0.092,
2008-01,0.112,
2008-04,0.119,
2008-07,0.116,
2008-10,0.086,
2009-01,0.218,
2009-04,0.210,
2009-07,0.237,
2009-10,0.188,
2010-01,0.170,
2010-04,0.242,
2010-07,0.166,
2010-10,0.158,
2011-01,0.173,
2011-04,0.189,
2011-07,0.182,
2011-10,0.156,
2012-01,0.185,
2012-04,0.208,
2012-07,0.212,
2012-10,0.202,
2013-01,0.194,
2013-04,0.202,
2013-07,0.254,
2013-10,0.224,
2014-01,0.211,
2014-04,0.197,
2014-07,0.210,
