"",BBFB1.Q.N.DE.A7.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:19,
1991-01,-51.226,
1991-04,-55.424,
1991-07,-59.012,
1991-10,-44.504,
1992-01,-53.871,
1992-04,-50.532,
1992-07,-50.938,
1992-10,-51.188,
1993-01,-79.745,
1993-04,-115.039,
1993-07,-53.636,
1993-10,-81.600,
1994-01,-44.813,
1994-04,-43.651,
1994-07,-47.262,
1994-10,-53.182,
1995-01,-37.837,
1995-04,-59.419,
1995-07,-55.785,
1995-10,-34.457,
1996-01,-57.824,
1996-04,-65.349,
1996-07,-100.268,
1996-10,-20.113,
1997-01,-37.813,
1997-04,-68.106,
1997-07,-87.753,
1997-10,-72.390,
1998-01,-78.398,
1998-04,-50.117,
1998-07,-96.503,
1998-10,-79.469,
1999-01,-47.700,
1999-04,-71.633,
1999-07,-87.368,
1999-10,-81.571,
2000-01,-76.372,
2000-04,-74.812,
2000-07,-71.881,
2000-10,-74.383,
2001-01,-79.321,
2001-04,-139.294,
2001-07,-102.931,
2001-10,-68.895,
2002-01,-57.606,
2002-04,-63.711,
2002-07,-73.802,
2002-10,-69.824,
2003-01,-54.879,
2003-04,-55.869,
2003-07,-75.669,
2003-10,-62.143,
2004-01,-57.444,
2004-04,-61.542,
2004-07,-59.728,
2004-10,-57.099,
2005-01,-53.929,
2005-04,-73.110,
2005-07,-82.374,
2005-10,-76.758,
2006-01,-64.295,
2006-04,-55.121,
2006-07,-59.830,
2006-10,-67.427,
2007-01,-66.052,
2007-04,-67.977,
2007-07,-78.746,
2007-10,-83.822,
2008-01,-78.849,
2008-04,-67.935,
2008-07,-89.864,
2008-10,-86.467,
2009-01,-78.309,
2009-04,-64.924,
2009-07,-78.334,
2009-10,-80.958,
2010-01,-63.774,
2010-04,-72.658,
2010-07,-57.054,
2010-10,-74.862,
2011-01,-72.775,
2011-04,-76.276,
2011-07,-74.148,
2011-10,-109.722,
2012-01,-75.981,
2012-04,-64.480,
2012-07,-76.280,
2012-10,-83.501,
2013-01,-77.610,
2013-04,-76.796,
2013-07,-106.907,
2013-10,-122.590,
2014-01,-60.233,Provisional value
2014-04,-65.985,Provisional value
2014-07,-90.704,Provisional value
