"",BBK01.OELJ05M,BBK01.OELJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:46,
2002-01,0.313,
2002-04,0.312,
2002-07,0.302,
2002-10,0.290,
2003-01,0.291,
2003-04,0.263,
2003-07,0.278,
2003-10,0.319,
2004-01,0.305,
2004-04,0.301,
2004-07,0.293,
2004-10,0.274,
2005-01,0.271,
2005-04,0.255,
2005-07,0.272,
2005-10,0.272,
2006-01,0.259,
2006-04,0.252,
2006-07,0.245,
2006-10,0.243,
2007-01,0.245,
2007-04,0.242,
2007-07,0.235,
2007-10,0.231,
2008-01,0.226,
2008-04,0.230,
2008-07,0.233,
2008-10,0.189,
2009-01,0.184,
2009-04,0.183,
2009-07,0.181,
2009-10,0.179,
2010-01,0.177,
2010-04,0.185,
2010-07,0.177,
2010-10,0.203,
2011-01,0.207,
2011-04,0.209,
2011-07,0.197,
2011-10,0.197,
2012-01,0.195,
2012-04,0.197,
2012-07,0.178,
2012-10,0.168,
2013-01,0.169,
2013-04,0.172,
2013-07,0.157,
2013-10,0.146,
2014-01,0.225,
2014-04,0.225,
2014-07,0.212,
