"",BBK01.OEYJ03J,BBK01.OEYJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:43,
2002-01,5.744,
2002-04,5.855,
2002-07,5.697,
2002-10,5.847,
2003-01,5.649,
2003-04,5.709,
2003-07,5.876,
2003-10,6.099,
2004-01,6.370,
2004-04,6.653,
2004-07,7.122,
2004-10,7.466,
2005-01,7.965,
2005-04,8.029,
2005-07,8.138,
2005-10,8.854,
2006-01,8.754,
2006-04,9.148,
2006-07,9.552,
2006-10,9.591,
2007-01,10.137,
2007-04,10.170,
2007-07,10.524,
2007-10,10.688,
2008-01,10.982,
2008-04,11.162,
2008-07,11.161,
2008-10,11.282,
2009-01,11.556,
2009-04,11.559,
2009-07,11.406,
2009-10,11.467,
2010-01,11.492,
2010-04,11.243,
2010-07,11.047,
2010-10,11.019,
2011-01,10.880,
2011-04,10.841,
2011-07,10.847,
2011-10,10.591,
2012-01,10.590,
2012-04,5.909,
2012-07,5.729,
2012-10,5.492,
2013-01,5.427,
2013-04,5.315,
2013-07,5.225,
2013-10,5.121,
2014-01,4.908,
2014-04,4.666,
2014-07,4.642,
