"",BBK01.OEHJ03J,BBK01.OEHJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:26,
2002-01,0.386,
2002-04,0.403,
2002-07,0.408,
2002-10,0.389,
2003-01,0.370,
2003-04,0.363,
2003-07,0.384,
2003-10,0.437,
2004-01,0.462,
2004-04,0.436,
2004-07,0.429,
2004-10,0.469,
2005-01,0.540,
2005-04,0.603,
2005-07,0.619,
2005-10,0.662,
2006-01,0.850,
2006-04,0.795,
2006-07,0.801,
2006-10,0.761,
2007-01,0.788,
2007-04,0.906,
2007-07,0.955,
2007-10,0.894,
2008-01,0.987,
2008-04,1.042,
2008-07,1.032,
2008-10,0.991,
2009-01,0.931,
2009-04,0.970,
2009-07,0.922,
2009-10,0.827,
2010-01,0.887,
2010-04,0.844,
2010-07,0.791,
2010-10,0.849,
2011-01,0.953,
2011-04,0.961,
2011-07,1.015,
2011-10,0.944,
2012-01,1.012,
2012-04,0.951,
2012-07,0.913,
2012-10,0.904,
2013-01,0.956,
2013-04,1.151,
2013-07,0.954,
2013-10,0.741,
2014-01,0.808,
2014-04,0.792,
2014-07,0.770,
