"",BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:16,
1991-01,-44.979,
1991-04,157.393,
1991-07,259.808,
1991-10,-66.777,
1992-01,91.794,
1992-04,-178.256,
1992-07,-187.162,
1992-10,-120.023,
1993-01,82.567,
1993-04,-44.564,
1993-07,-30.552,
1993-10,160.744,
1994-01,244.018,
1994-04,-72.849,
1994-07,-646.481,
1994-10,-210.098,
1995-01,-67.449,
1995-04,-165.547,
1995-07,-200.133,
1995-10,96.194,
1996-01,-203.882,
1996-04,90.669,
1996-07,-10.882,
1996-10,700.816,
1997-01,-127.051,
1997-04,-206.499,
1997-07,-657.681,
1997-10,256.493,
1998-01,-184.300,
1998-04,-35.006,
1998-07,-123.295,
1998-10,332.711,
1999-01,-91.254,
1999-04,-81.308,
1999-07,-59.691,
1999-10,-173.169,
2000-01,-227.898,
2000-04,-536.889,
2000-07,-20.384,
2000-10,575.146,
2001-01,-79.273,
2001-04,-30.749,
2001-07,-224.174,
2001-10,240.753,
2002-01,-196.411,
2002-04,-109.612,
2002-07,-182.281,
2002-10,150.092,
2003-01,516.021,
2003-04,-181.374,
2003-07,103.962,
2003-10,332.806,
2004-01,1166.224,
2004-04,339.950,
2004-07,85.272,
2004-10,-302.407,
2005-01,444.664,
2005-04,526.410,
2005-07,-107.900,
2005-10,-1911.790,
2006-01,854.535,
2006-04,834.813,
2006-07,492.573,
2006-10,1628.451,
2007-01,1119.897,
2007-04,-531.025,
2007-07,733.252,
2007-10,559.985,
2008-01,1052.694,
2008-04,979.717,
2008-07,118.678,
2008-10,147.102,
2009-01,-682.102,
2009-04,-147.313,
2009-07,-723.922,
2009-10,-64.514,
2010-01,-452.139,
2010-04,-115.676,
2010-07,207.597,
2010-10,-351.503,
2011-01,2.764,
2011-04,264.101,
2011-07,-38.205,
2011-10,-41.312,
2012-01,-825.258,
2012-04,564.051,
2012-07,79.538,
2012-10,-318.617,
2013-01,1082.212,
2013-04,-275.260,
2013-07,-968.502,
2013-10,280.677,
2014-01,-350.193,Provisional value
2014-04,-478.790,Provisional value
2014-07,68.754,Provisional value
2014-10,-648.329,Provisional value
