"",BBK01.CEFJ20,BBK01.CEFJ20_FLAGS
"",Unlisted shares                                      debtor: Finanzielle Sektoren         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:15,
1999-01,182.3,
1999-04,173.2,
1999-07,169.5,
1999-10,209.8,
2000-01,267.9,
2000-04,226.3,
2000-07,245.2,
2000-10,211.3,
2001-01,215.1,
2001-04,218.4,
2001-07,161.8,
2001-10,185.6,
2002-01,207.9,
2002-04,192.4,
2002-07,112.5,
2002-10,95.2,
2003-01,107.6,
2003-04,135.0,
2003-07,135.3,
2003-10,150.7,
2004-01,148.2,
2004-04,147.7,
2004-07,141.5,
2004-10,154.9,
2005-01,162.0,
2005-04,164.9,
2005-07,188.6,
2005-10,204.1,
2006-01,221.5,
2006-04,210.9,
2006-07,238.2,
2006-10,244.1,
2007-01,264.6,
2007-04,264.7,
2007-07,257.3,
2007-10,274.6,
2008-01,230.5,
2008-04,207.3,
2008-07,171.9,
2008-10,122.8,
2009-01,114.6,
2009-04,116.4,
2009-07,138.4,
2009-10,149.4,
2010-01,165.7,
2010-04,146.0,
2010-07,129.4,
2010-10,134.1,
2011-01,140.7,
2011-04,135.0,
2011-07,104.6,
2011-10,107.3,
2012-01,126.5,
2012-04,112.1,
2012-07,122.7,
2012-10,132.6,
2013-01,138.2,
2013-04,139.1,
2013-07,143.8,
2013-10,158.1,
2014-01,155.8,
2014-04,150.7,
2014-07,163.0,
