"",BBK01.OEHB22L,BBK01.OEHB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:52,
2002-01,0.864,
2002-04,0.593,
2002-07,0.615,
2002-10,0.977,
2003-01,0.698,
2003-04,1.038,
2003-07,0.961,
2003-10,1.856,
2004-01,1.056,
2004-04,0.784,
2004-07,0.806,
2004-10,0.836,
2005-01,1.553,
2005-04,1.672,
2005-07,0.966,
2005-10,1.108,
2006-01,1.160,
2006-04,1.215,
2006-07,1.300,
2006-10,1.445,
2007-01,1.248,
2007-04,1.083,
2007-07,1.199,
2007-10,0.935,
2008-01,0.962,
2008-04,0.917,
2008-07,0.919,
2008-10,1.159,
2009-01,1.205,
2009-04,1.160,
2009-07,1.145,
2009-10,1.291,
2010-01,1.395,
2010-04,1.479,
2010-07,1.477,
2010-10,1.469,
2011-01,1.756,
2011-04,1.905,
2011-07,1.744,
2011-10,1.825,
2012-01,1.878,
2012-04,1.728,
2012-07,1.661,
2012-10,1.837,
2013-01,1.668,
2013-04,1.574,
2013-07,1.605,
2013-10,1.721,
2014-01,1.644,
2014-04,1.456,
2014-07,1.423,
