"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SK.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SK.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Slovakia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:41,
2009-09,537,
2009-10,511,
2009-11,515,
2009-12,513,
2010-01,507,
2010-02,402,
2010-03,407,
2010-04,513,
2010-05,553,
2010-06,551,
2010-07,578,
2010-08,610,
2010-09,568,
2010-10,728,
2010-11,691,
2010-12,655,
2011-01,646,
2011-02,656,
2011-03,616,
2011-04,660,
2011-05,626,
2011-06,633,
2011-07,635,
2011-08,661,
2011-09,669,
2011-10,654,
2011-11,582,
2011-12,585,
2012-01,646,
2012-02,649,
2012-03,726,
2012-04,771,
2012-05,800,
2012-06,809,
2012-07,832,
2012-08,871,
2012-09,910,
2012-10,963,
2012-11,1074,
2012-12,1073,
2013-01,1339,
2013-02,1457,
2013-03,1431,
2013-04,1482,
2013-05,1530,
2013-06,1348,
2013-07,1364,
2013-08,1321,
2013-09,1299,
2013-10,1287,
2013-11,1290,
2013-12,1293,
2014-01,1608,
2014-02,1636,
2014-03,1655,
2014-04,1678,
2014-05,1640,
2014-06,1675,
2014-07,1670,
2014-08,1733,
2014-09,1744,
2014-10,1830,
2014-11,1847,
