"",BBK01.CEH201,BBK01.CEH201_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:16,
1991-01,-14.7,
1991-04,12.3,
1991-07,-3.6,
1991-10,15.3,
1992-01,-17.4,
1992-04,9.2,
1992-07,-1.1,
1992-10,21.8,
1993-01,-9.6,
1993-04,-0.6,
1993-07,8.3,
1993-10,23.1,
1994-01,-14.4,
1994-04,1.5,
1994-07,0.8,
1994-10,29.7,
1995-01,-8.2,
1995-04,0.9,
1995-07,-0.4,
1995-10,18.6,
1996-01,-26.3,
1996-04,-2.9,
1996-07,6.3,
1996-10,48.3,
1997-01,-24.1,
1997-04,-7.8,
1997-07,1.6,
1997-10,16.1,
1998-01,-13.5,
1998-04,-1.1,
1998-07,-1.8,
1998-10,24.0,
1999-01,-8.8,
1999-04,-2.6,
1999-07,9.9,
1999-10,3.9,
2000-01,2.2,
2000-04,2.2,
2000-07,-4.1,
2000-10,6.5,
2001-01,-6.2,
2001-04,-3.7,
2001-07,3.4,
2001-10,34.7,
2002-01,-58.7,
2002-04,9.9,
2002-07,11.2,
2002-10,21.5,
2003-01,-15.6,
2003-04,10.0,
2003-07,10.0,
2003-10,14.7,
2004-01,-8.7,
2004-04,4.2,
2004-07,18.7,
2004-10,13.3,
2005-01,-7.9,
2005-04,16.6,
2005-07,11.9,
2005-10,15.8,
2006-01,-8.4,
2006-04,12.3,
2006-07,-5.8,
2006-10,20.5,
2007-01,-7.2,
2007-04,6.3,
2007-07,18.3,
2007-10,21.6,
2008-01,-11.1,
2008-04,-3.5,
2008-07,21.9,
2008-10,4.0,
2009-01,-1.1,
2009-04,10.6,
2009-07,12.9,
2009-10,2.4,
2010-01,3.4,
2010-04,-21.3,
2010-07,19.3,
2010-10,5.9,
2011-01,8.4,
2011-04,-16.0,
2011-07,-3.3,
2011-10,24.9,
2012-01,-21.4,
2012-04,-10.2,
2012-07,4.7,
2012-10,33.5,
2013-01,-46.0,
2013-04,-16.2,
2013-07,50.6,
2013-10,17.5,
2014-01,-34.0,
