"",BBFB1.Q.N.DE.B2.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:35,
1991-01,6268.647,
1991-04,5672.359,
1991-07,5806.807,
1991-10,6524.037,
1992-01,6613.436,
1992-04,6204.016,
1992-07,6542.928,
1992-10,6890.526,
1993-01,6289.793,
1993-04,6494.197,
1993-07,6581.851,
1993-10,7727.025,
1994-01,6963.280,
1994-04,6615.422,
1994-07,6878.622,
1994-10,7733.549,
1995-01,7821.880,
1995-04,6958.025,
1995-07,7400.642,
1995-10,8199.892,
1996-01,7518.810,
1996-04,7520.068,
1996-07,5636.685,
1996-10,7272.145,
1997-01,9356.834,
1997-04,6598.896,
1997-07,7753.647,
1997-10,5999.506,
1998-01,11333.393,
1998-04,6899.121,
1998-07,8214.037,
1998-10,8226.157,
1999-01,10304.083,
1999-04,8993.616,
1999-07,10270.398,
1999-10,9593.660,
2000-01,10930.976,
2000-04,10471.586,
2000-07,9914.751,
2000-10,11333.280,
2001-01,10863.568,
2001-04,11146.256,
2001-07,9290.483,
2001-10,9927.453,
2002-01,10156.046,
2002-04,9861.961,
2002-07,7626.918,
2002-10,8912.646,
2003-01,11115.805,
2003-04,11596.329,
2003-07,11460.674,
2003-10,9635.391,
2004-01,11957.284,
2004-04,10288.601,
2004-07,10334.780,
2004-10,8697.490,
2005-01,12467.988,
2005-04,9301.260,
2005-07,9859.621,
2005-10,8807.480,
2006-01,13594.687,
2006-04,10290.229,
2006-07,11577.182,
2006-10,11361.284,
2007-01,12472.008,
2007-04,9358.408,
2007-07,9330.164,
2007-10,10783.142,
2008-01,12448.091,
2008-04,9281.876,
2008-07,8635.355,
2008-10,11406.250,
2009-01,11444.611,
2009-04,8870.791,
2009-07,8892.223,
2009-10,12563.668,
2010-01,14331.739,
2010-04,9645.770,
2010-07,11702.769,
2010-10,12737.390,
2011-01,15126.242,
2011-04,11759.968,
2011-07,12627.227,
2011-10,13063.115,
2012-01,18694.184,
2012-04,14075.995,
2012-07,13977.365,
2012-10,14544.788,
2013-01,19306.597,
2013-04,14803.236,
2013-07,14571.104,
2013-10,15356.901,
2014-01,19443.268,Provisional value
2014-04,15453.705,Provisional value
2014-07,12411.734,Provisional value
