"",BBK01.OELI01R,BBK01.OELI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:30,
2002-01,3.276,
2002-04,3.229,
2002-07,3.348,
2002-10,3.448,
2003-01,3.389,
2003-04,3.343,
2003-07,3.403,
2003-10,3.535,
2004-01,3.475,
2004-04,3.459,
2004-07,3.550,
2004-10,3.568,
2005-01,3.541,
2005-04,3.492,
2005-07,3.561,
2005-10,3.680,
2006-01,3.494,
2006-04,3.601,
2006-07,3.695,
2006-10,3.788,
2007-01,3.735,
2007-04,3.749,
2007-07,3.882,
2007-10,3.996,
2008-01,3.902,
2008-04,3.846,
2008-07,3.941,
2008-10,4.143,
2009-01,4.038,
2009-04,4.008,
2009-07,4.001,
2009-10,4.099,
2010-01,4.056,
2010-04,4.077,
2010-07,4.157,
2010-10,4.251,
2011-01,4.156,
2011-04,4.127,
2011-07,4.198,
2011-10,4.303,
2012-01,4.221,
2012-04,4.427,
2012-07,4.584,
2012-10,4.676,
2013-01,4.588,
2013-04,4.625,
2013-07,4.726,
2013-10,4.850,
2014-01,4.827,
2014-04,4.822,
2014-07,4.974,
