"",BBK01.OEAI08I,BBK01.OEAI08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:51,
2002-01,13.285,
2002-04,12.595,
2002-07,12.495,
2002-10,12.769,
2003-01,12.974,
2003-04,12.887,
2003-07,12.870,
2003-10,12.947,
2004-01,12.840,
2004-04,12.647,
2004-07,12.582,
2004-10,12.748,
2005-01,15.323,
2005-04,15.191,
2005-07,15.151,
2005-10,15.355,
2006-01,15.242,
2006-04,15.083,
2006-07,14.802,
2006-10,14.830,
2007-01,14.971,
2007-04,14.881,
2007-07,14.947,
2007-10,15.124,
2008-01,15.047,
2008-04,15.069,
2008-07,14.921,
2008-10,15.967,
2009-01,16.032,
2009-04,15.446,
2009-07,15.186,
2009-10,15.021,
2010-01,14.078,
2010-04,13.743,
2010-07,13.120,
2010-10,13.089,
2011-01,12.681,
2011-04,12.379,
2011-07,12.174,
2011-10,12.137,
2012-01,12.251,
2012-04,12.091,
2012-07,12.031,
2012-10,12.100,
2013-01,11.962,
2013-04,11.913,
2013-07,11.765,
2013-10,11.721,
2014-01,11.555,
2014-04,11.435,
2014-07,11.469,
