"",BBK01.OEAA49G,BBK01.OEAA49G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:39,
2002-01,26.044,
2002-04,26.040,
2002-07,27.665,
2002-10,25.655,
2003-01,25.328,
2003-04,27.507,
2003-07,24.195,
2003-10,25.701,
2004-01,25.327,
2004-04,25.761,
2004-07,24.665,
2004-10,25.890,
2005-01,21.050,
2005-04,21.536,
2005-07,21.976,
2005-10,21.734,
2006-01,28.409,
2006-04,28.783,
2006-07,31.708,
2006-10,32.045,
2007-01,34.051,
2007-04,37.554,
2007-07,40.779,
2007-10,46.068,
2008-01,27.964,
2008-04,36.341,
2008-07,40.283,
2008-10,44.367,
2009-01,44.930,
2009-04,45.297,
2009-07,48.788,
2009-10,44.575,
2010-01,46.987,
2010-04,50.133,
2010-07,49.434,
2010-10,46.543,
2011-01,45.843,
2011-04,43.405,
2011-07,40.487,
2011-10,38.275,
2012-01,40.652,
2012-04,40.796,
2012-07,41.773,
2012-10,38.827,
2013-01,40.392,
2013-04,35.991,
2013-07,34.495,
2013-10,33.614,
2014-01,36.086,
2014-04,37.500,
2014-07,39.462,
