"",BBFB1.Q.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:03,
1991-01,14574.988,
1991-04,9009.326,
1991-07,9576.129,
1991-10,10361.036,
1992-01,10615.009,
1992-04,9766.622,
1992-07,10510.479,
1992-10,10805.609,
1993-01,10917.015,
1993-04,11034.582,
1993-07,11381.950,
1993-10,13036.985,
1994-01,12368.225,
1994-04,11622.265,
1994-07,12239.864,
1994-10,13100.233,
1995-01,12185.220,
1995-04,11283.288,
1995-07,11514.579,
1995-10,13086.536,
1996-01,12674.606,
1996-04,12317.951,
1996-07,10772.174,
1996-10,12315.543,
1997-01,14638.833,
1997-04,11665.478,
1997-07,13053.940,
1997-10,11243.719,
1998-01,15522.252,
1998-04,10731.510,
1998-07,12516.236,
1998-10,12559.037,
1999-01,14411.700,
1999-04,13088.151,
1999-07,14696.304,
1999-10,14273.062,
2000-01,15640.681,
2000-04,14808.641,
2000-07,14522.512,
2000-10,16471.729,
2001-01,17697.783,
2001-04,18320.159,
2001-07,16938.453,
2001-10,17098.542,
2002-01,18664.642,
2002-04,18251.844,
2002-07,15994.557,
2002-10,18008.932,
2003-01,19894.027,
2003-04,20415.678,
2003-07,20423.368,
2003-10,17709.575,
2004-01,18495.798,
2004-04,16496.459,
2004-07,16548.552,
2004-10,14797.434,
2005-01,20040.015,
2005-04,16942.936,
2005-07,17296.862,
2005-10,16448.826,
2006-01,19136.260,
2006-04,15585.356,
2006-07,16988.897,
2006-10,17129.185,
2007-01,19870.306,
2007-04,16740.941,
2007-07,16706.561,
2007-10,18071.647,
2008-01,19899.783,
2008-04,16795.350,
2008-07,16085.294,
2008-10,19048.723,
2009-01,18352.944,
2009-04,15603.699,
2009-07,14885.330,
2009-10,19183.014,
2010-01,21316.225,
2010-04,17299.241,
2010-07,19359.028,
2010-10,20908.305,
2011-01,23050.406,
2011-04,19489.699,
2011-07,20316.208,
2011-10,21390.673,
2012-01,25408.399,
2012-04,20774.770,
2012-07,20338.159,
2012-10,22243.072,
2013-01,27161.684,
2013-04,22103.353,
2013-07,22192.315,
2013-10,23603.801,
2014-01,27104.557,Provisional value
2014-04,23326.937,Provisional value
2014-07,20665.441,Provisional value
