"",BBK01.OECB17Q,BBK01.OECB17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:32,
2002-01,2.134,
2002-04,2.122,
2002-07,2.115,
2002-10,2.094,
2003-01,2.050,
2003-04,2.050,
2003-07,2.055,
2003-10,2.035,
2004-01,1.996,
2004-04,1.984,
2004-07,1.978,
2004-10,2.347,
2005-01,3.366,
2005-04,3.413,
2005-07,3.476,
2005-10,3.595,
2006-01,3.658,
2006-04,3.705,
2006-07,3.755,
2006-10,3.829,
2007-01,3.850,
2007-04,4.045,
2007-07,4.019,
2007-10,3.994,
2008-01,3.973,
2008-04,3.987,
2008-07,3.978,
2008-10,3.975,
2009-01,3.970,
2009-04,4.952,
2009-07,4.911,
2009-10,4.875,
2010-01,4.846,
2010-04,4.819,
2010-07,4.957,
2010-10,4.929,
2011-01,4.850,
2011-04,4.811,
2011-07,4.825,
2011-10,4.808,
2012-01,4.804,
2012-04,4.807,
2012-07,4.832,
2012-10,4.841,
2013-01,4.859,
2013-04,4.875,
2013-07,4.887,
2013-10,4.929,
2014-01,4.956,
2014-04,5.009,
2014-07,5.104,
