"",BBK01.OEHL07P,BBK01.OEHL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:11,
2002-01,4.727,
2002-04,4.675,
2002-07,4.649,
2002-10,4.809,
2003-01,4.840,
2003-04,4.847,
2003-07,4.861,
2003-10,4.970,
2004-01,4.982,
2004-04,4.968,
2004-07,4.949,
2004-10,5.059,
2005-01,5.065,
2005-04,5.049,
2005-07,5.022,
2005-10,5.127,
2006-01,5.133,
2006-04,5.090,
2006-07,5.041,
2006-10,5.085,
2007-01,5.011,
2007-04,4.930,
2007-07,4.862,
2007-10,4.906,
2008-01,4.824,
2008-04,4.777,
2008-07,4.701,
2008-10,4.793,
2009-01,4.807,
2009-04,4.857,
2009-07,4.863,
2009-10,5.014,
2010-01,5.048,
2010-04,5.067,
2010-07,5.034,
2010-10,5.097,
2011-01,5.104,
2011-04,5.106,
2011-07,5.066,
2011-10,5.075,
2012-01,5.021,
2012-04,4.952,
2012-07,4.906,
2012-10,4.978,
2013-01,4.919,
2013-04,4.821,
2013-07,4.750,
2013-10,4.735,
2014-01,4.685,
2014-04,4.630,
2014-07,4.570,
