"",BBK01.OEAH62I,BBK01.OEAH62I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:42,
2002-01,0.036,
2002-04,0.032,
2002-07,0.034,
2002-10,0.036,
2003-01,0.030,
2003-04,0.038,
2003-07,0.030,
2003-10,0.032,
2004-01,0.031,
2004-04,0.020,
2004-07,0.018,
2004-10,0.018,
2005-01,0.090,
2005-04,0.084,
2005-07,0.082,
2005-10,0.084,
2006-01,0.090,
2006-04,0.094,
2006-07,0.097,
2006-10,0.098,
2007-01,0.102,
2007-04,0.107,
2007-07,0.119,
2007-10,0.195,
2008-01,0.241,
2008-04,0.251,
2008-07,0.331,
2008-10,0.379,
2009-01,0.471,
2009-04,0.476,
2009-07,0.388,
2009-10,0.311,
2010-01,0.227,
2010-04,0.261,
2010-07,0.249,
2010-10,0.251,
2011-01,0.329,
2011-04,0.406,
2011-07,0.452,
2011-10,0.569,
2012-01,0.729,
2012-04,0.684,
2012-07,0.688,
2012-10,0.586,
2013-01,0.448,
2013-04,0.362,
2013-07,0.367,
2013-10,0.306,
2014-01,0.189,
2014-04,0.148,
2014-07,0.087,
