"",BBK01.OEAC11Q,BBK01.OEAC11Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:44,
2002-01,13.202,
2002-04,13.267,
2002-07,12.851,
2002-10,13.030,
2003-01,12.993,
2003-04,15.054,
2003-07,15.408,
2003-10,15.522,
2004-01,14.519,
2004-04,10.529,
2004-07,10.582,
2004-10,10.437,
2005-01,10.189,
2005-04,10.104,
2005-07,10.219,
2005-10,10.110,
2006-01,10.075,
2006-04,10.812,
2006-07,10.362,
2006-10,10.714,
2007-01,10.625,
2007-04,10.233,
2007-07,8.534,
2007-10,8.563,
2008-01,8.637,
2008-04,8.629,
2008-07,8.756,
2008-10,8.819,
2009-01,8.835,
2009-04,9.219,
2009-07,9.292,
2009-10,9.255,
2010-01,9.811,
2010-04,9.867,
2010-07,9.612,
2010-10,10.987,
2011-01,9.633,
2011-04,9.526,
2011-07,9.302,
2011-10,9.469,
2012-01,9.391,
2012-04,9.684,
2012-07,9.689,
2012-10,9.901,
2013-01,9.876,
2013-04,9.724,
2013-07,9.777,
2013-10,9.841,
2014-01,9.807,
2014-04,9.877,
2014-07,10.065,
