"",BBFB1.Q.N.DE.W03100.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:26,
1991-01,2583.158,
1991-04,2592.987,
1991-07,2916.579,
1991-10,3097.859,
1992-01,2844.850,
1992-04,2915.267,
1992-07,3502.206,
1992-10,3360.316,
1993-01,2987.853,
1993-04,3219.405,
1993-07,3577.849,
1993-10,3549.232,
1994-01,3518.510,
1994-04,3619.323,
1994-07,4133.936,
1994-10,3907.904,
1995-01,3753.195,
1995-04,3686.289,
1995-07,4202.111,
1995-10,4173.657,
1996-01,3818.418,
1996-04,4004.646,
1996-07,4341.932,
1996-10,4357.815,
1997-01,4257.372,
1997-04,4351.888,
1997-07,4659.454,
1997-10,4819.974,
1998-01,4293.264,
1998-04,4456.425,
1998-07,4845.053,
1998-10,4685.429,
1999-01,4192.303,
1999-04,4363.556,
1999-07,4896.482,
1999-10,5299.805,
2000-01,4933.933,
2000-04,5366.633,
2000-07,5662.613,
2000-10,6008.041,
2001-01,5701.316,
2001-04,5431.909,
2001-07,6062.258,
2001-10,5277.634,
2002-01,5611.676,
2002-04,5410.675,
2002-07,6267.526,
2002-10,5629.818,
2003-01,5801.666,
2003-04,4950.246,
2003-07,6149.189,
2003-10,5527.611,
2004-01,5739.214,
2004-04,5444.884,
2004-07,7038.206,
2004-10,6253.811,
2005-01,6467.035,
2005-04,6863.246,
2005-07,7902.404,
2005-10,7117.936,
2006-01,7171.494,
2006-04,7121.934,
2006-07,8351.513,
2006-10,7807.753,
2007-01,7188.589,
2007-04,7647.226,
2007-07,9487.022,
2007-10,8796.937,
2008-01,8031.314,
2008-04,8399.806,
2008-07,9658.934,
2008-10,8134.081,
2009-01,7233.901,
2009-04,7008.284,
2009-07,8291.084,
2009-10,7585.945,
2010-01,8022.176,
2010-04,9115.654,
2010-07,9834.757,
2010-10,9472.773,
2011-01,8795.732,
2011-04,8775.034,
2011-07,10386.776,
2011-10,9755.918,
2012-01,9834.919,
2012-04,9785.833,
2012-07,11839.781,
2012-10,10830.988,
2013-01,10811.202,
2013-04,11382.450,
2013-07,12630.170,
2013-10,11928.619,
2014-01,10349.901,Provisional value
2014-04,10751.075,Provisional value
2014-07,13112.183,Provisional value
